Name,Input,Output,Protein,RBS,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_J107030, , , , ,,Username:5,Released HQ 2013,BBa_Q01400,In stock,Works,Not Used,Magni_UNIPV_Lab,Lorenzo Pasotti,2012-10-13,,pgroup=Inverter&show=1.csv
BBa_K1385000, , , , ,,,Not Released,,In stock,Works,Not Used,iGEM14_WashU_StLouis,Benjamin Huang,2014-10-07,,pgroup=Inverter&show=1.csv
BBa_K173005, , , , ,,,Released HQ 2013,BBa_Q04400,In stock,Works,6 Uses,iGEM09_UNIPV-Pavia,|Lorenzo Pasotti, Letizia Diamante, Susanna Schiavi, Paolo Magni|,2009-10-15,,pgroup=Inverter&show=1.csv
BBa_K542003, , , , ,,,Released HQ 2013,BBa_K091145,In stock,Works,2 Uses,iGEM11_Lethbridge,Anthony Vuong,2011-09-23,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Inverter&show=1.csv
BBa_Q04121,BBa_P0412,BBa_R0011,LacI,BBa_B0034,1,iGEM ETHZ 2012:1;Antiquity:5,Released HQ 2013,,In stock,Works,83 Uses,Antiquity,Caitlin Conboy,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q04400,BBa_P0440,BBa_R0040,TetR,BBa_B0034,1,Antiquity:5,Released HQ 2013,BBa_K173005,In stock,Works,100 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q04510,BBa_P0451,BBa_R0051,CI (Lambda),BBa_B0034,1,Antiquity:5,Released HQ 2013,,In stock,Works,113 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_A340620, , , , ,,Antiquity:0,Released HQ 2013,BBa_I13262;BBa_K317037,In stock,None,18 Uses,Antiquity,cconboy,2004-08-10,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Inverter&show=1.csv
BBa_J06800, ,BBa_R0011,LacI ts mutant,BBa_B0034,1,Antiquity:0,Released HQ 2013,,In stock,None,5 Uses,iGEM2005,ytwang,2005-06-14,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Inverter&show=1.csv
BBa_J06801, ,BBa_R0011,LacI ts mutant,BBa_B0034,1,Antiquity:0,Released HQ 2013,,In stock,None,19 Uses,iGEM2005,ytwang,2005-06-14,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Inverter&show=1.csv
BBa_Q01121,BBa_P0112,BBa_R0011,LacI,BBa_B0031,1,Antiquity:0,Released HQ 2013,,In stock,None,29 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q01400,BBa_P0140,BBa_R0040,TetR,BBa_B0031,,Antiquity:0,Released HQ 2013,BBa_J107030,In stock,None,14 Uses,Antiquity,Caitlin Conboy,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q01511,BBa_P0151,BBa_R0065,CI (Lambda),BBa_B0031,1,Antiquity:0,Released HQ 2013,,In stock,None,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q01530,BBa_P0153,BBa_R0053,C2 (p22),BBa_B0031,,Antiquity:0,Released HQ 2013,,In stock,None,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
