Name,To be add,,part_rating,,release_status,twins,sample_status,part_results,use,group,author,date,distrbution
BBa_J107030,To be add,,,,Released HQ 2013,BBa_Q01400,In stock,Works,Not Used,Magni_UNIPV_Lab,Lorenzo Pasotti,2012-10-13,
BBa_K1385000,To be add,,,,Not Released,,In stock,Works,Not Used,iGEM14_WashU_StLouis,Benjamin Huang,2014-10-07,
BBa_K173005,To be add,,,,Released HQ 2013,BBa_Q04400,In stock,Works,6 Uses,iGEM09_UNIPV-Pavia,"Lorenzo Pasotti, Letizia Diamante, Susanna Schiavi, Paolo Magni",2009-10-15,
BBa_K542003,To be add,,,,Released HQ 2013,BBa_K091145,In stock,Works,2 Uses,iGEM11_Lethbridge,Anthony Vuong,2011-09-23,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution
BBa_Q04121,To be add,,1,,Released HQ 2013,,In stock,Works,83 Uses,Antiquity,Caitlin Conboy,2003-12-02,
BBa_Q04400,To be add,,1,,Released HQ 2013,BBa_K173005,In stock,Works,100 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q04510,To be add,,1,,Released HQ 2013,,In stock,Works,113 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_A340620,To be add,,,,Released HQ 2013,BBa_I13262;BBa_K317037,In stock,None,18 Uses,Antiquity,cconboy,2004-08-10,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution
BBa_J06800,To be add,,1,,Released HQ 2013,,In stock,None,5 Uses,iGEM2005,ytwang,2005-06-14,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution
BBa_J06801,To be add,,1,,Released HQ 2013,,In stock,None,19 Uses,iGEM2005,ytwang,2005-06-14,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution
BBa_Q01121,To be add,,1,,Released HQ 2013,,In stock,None,29 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q01400,To be add,,,,Released HQ 2013,BBa_J107030,In stock,None,14 Uses,Antiquity,Caitlin Conboy,2003-12-02,
BBa_Q01511,To be add,,1,,Released HQ 2013,,In stock,None,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q01530,To be add,,,,Released HQ 2013,,In stock,None,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q03121,To be add,,1,,Released HQ 2013,,In stock,None,4 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q03400,To be add,,1,,Released HQ 2013,,In stock,None,7 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q03530,To be add,,1,,Released HQ 2013,,In stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q04511,To be add,,1,,Released HQ 2013,,In stock,None,25 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q04520,To be add,,,,Released HQ 2013,,In stock,Issues,22 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q04530,To be add,,,,Released HQ 2013,,In stock,Fails,15 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution
BBa_I13409,To be add,,,,Not Released,,Not in stock,None,Not Used,MIT,jkm,2005-05-23,
BBa_I750006,To be add,,,,Not Released,,Not in stock,None,3 Uses,iGEM07_Melbourne,Patricia Illing,2007-07-02,
BBa_I765005,To be add,,,,Not Released,,It's complicated,None,Not Used,iGEM07_Colombia_Israel,Juliana Maria Navia and Alex Quintero,2007-10-26,
BBa_I765006,To be add,,,,Not Released,,It's complicated,None,Not Used,iGEM07_Colombia_Israel,Juan David Lobaton and Alex Quintero,2007-10-26,
BBa_I765012,To be add,,,,Not Released,,It's complicated,None,Not Used,iGEM07_Colombia_Israel,Juliana Maria Navia and Alex Quintero,2007-10-26,
BBa_I9001,To be add,,,,Not Released,BBa_Q04730,Not in stock,,1 Uses,Antiquity,crackdots,2004-01-27,
BBa_I9003,To be add,,,,Not Released,,Not in stock,,3 Uses,Antiquity,crackdots,2004-01-27,
BBa_I9004,To be add,,,,Not Released,,Not in stock,,3 Uses,Antiquity,crackdots,2004-01-27,
BBa_J06803,To be add,,,,Not Released,,It's complicated,None,4 Uses,iGEM2005,ytwang,2005-06-28,Spring 2017 Distribution;Spring 2016 Distribution
