Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distribution,filename
BBa_K1033204,pSBLb4E15 E. coli and lactobacilli shuttle vector with erythromycin resistance,706,,,Not Released,BBa_E1010;BBa_K1033210;BBa_K1447002;BBa_K1447004;BBa_K1613778,In stock,None,Not Used,iGEM13_Uppsala,Viktor Blomkvist,2013-08-23,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_K1033210,E. coli and lactobacilli shuttle vector with chloramphenicol resistance,706,,,Not Released,BBa_E1010;BBa_K1033204;BBa_K1447002;BBa_K1447004;BBa_K1613778,In stock,None,Not Used,iGEM13_Uppsala,Anders Edlund,2013-08-22,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_I716101,Low Copy Ampicillin Resistance Plasmid,3165,1,,Not Released,,It's complicated,Works,Not Used,iGEM07_Berkeley_UC,David Tulga,2007-06-27,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_I732950,P_template1 + lacZ,3339,,,Not Released,,It's complicated,Works,Not Used,iGEM07_USTC,Zhan Jian,2007-10-26,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_I732952,Ptemplate1 + RBS.ARL2A0103,2307,,,Not Released,,It's complicated,None,Not Used,iGEM07_USTC,Zhan Jian,2007-10-26,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_I742123,Multi-host vector pTG262 converted to BioBrick vector,5564,,,Not Released,,Not in stock,Works,3 Uses,iGEM07_Edinburgh,Sarah Hollingshead,2007-10-19,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_I750017,EcoRI-GenR-XbaI on pSB1AK3 backbone,4649,,,Not Released,,Not in stock,None,Not Used,iGEM07_Melbourne,Phillip Dodson,2007-10-22,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J100117,"pSB1A2 w/ ""A"" at -32 upstream from RNAII ",2079,,,Not Released,,Not in stock,None,Not Used,Campbell_M_Lab,Erich Baker,2013-07-24,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J100118,"pSB1A2 w/ ""T"" at -32 upstream from RNAII",2079,,,Not Released,,Not in stock,,Not Used,Campbell_M_Lab,Erich Baker,2013-07-24,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J100119,"pSB1A2 w/ ""G"" at -32 upstream from RNAII",2079,,,Not Released,,Not in stock,,Not Used,Campbell_M_Lab,Erich Baker,2013-07-24,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J107055,pSB3K3 with RBS-RFP-TT between SpeI-PstI,3619,,,Not Released,BBa_K359201,Not in stock,Works,Not Used,Magni_UNIPV_Lab,Lorenzo Pasotti,2011-08-12,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J107056,pSB4C5 with RBS-RFP-TT between SpeI-PstI,4090,,,Not Released,,Not in stock,Works,Not Used,Magni_UNIPV_Lab,Lorenzo Pasotti,2011-08-12,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J107057,BBa_K300000 with RBS-RFP-TT between SpeI-PstI in the suffix,3040,,,Not Released,,Not in stock,Works,Not Used,Magni_UNIPV_Lab,Lorenzo Pasotti,2011-08-12,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J107058,BioBrick integrative vector targeting aspA locus,3279,,,Not Released,,Not in stock,Works,Not Used,Magni_UNIPV_Lab,Lorenzo Pasotti,2012-08-26,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J107077,pBBknock standard vector for allelic replacement,3886,,,Not Released,,Not in stock,Works,-1 Uses,Magni_UNIPV_Lab,"Michela Casanova, Lorenzo Pasotti, Susanna Zucca, Nicolo Politi, Ilaria Massaiu, Cinzia Calvio, Gabriella Cusella, Paolo Magni",2016-01-02,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J119043,pSB1A8,2240,,,Not Released,,Not in stock,None,Not Used,Eckdahl_Lab,Todd Eckdahl and A. Malcolm Campbell,2012-01-04,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J119045,pSB1C8,2167,,,Not Released,,Not in stock,None,Not Used,Eckdahl_Lab,Todd Eckdahl and A. Malcolm Campbell,2012-01-19,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J119046,pSB1K8,2289,,,Not Released,,Not in stock,None,Not Used,Eckdahl_Lab,A. Malcolm Campbell and Todd Eckdahl,2012-01-23,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J119047,pSB1T8,2546,,,Not Released,,Not in stock,None,Not Used,Eckdahl_Lab,A. Malcolm Campbell and Todd Eckdahl,2012-01-23,,pgroup=Plasmid_Backbone&show=1.html.csv
BBa_J119048,pSB4A8,3662,,,Not Released,,Not in stock,None,Not Used,Eckdahl_Lab,A. Malcolm Campbell and Todd Eckdahl,2012-01-23,,pgroup=Plasmid_Backbone&show=1.html.csv
