Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distribution,filename
BBa_G00100,Forward primer for sequencing/amplifying BioBrick parts (VF2),n/a,,Antiquity:5,Not Released,,Not in stock,Works,23 Uses,Antiquity,Tom Knight,2004-05-25,,pgroup=Primer&show=1.html.csv
BBa_G00101,Reverse primer for sequencing/amplifying BioBrick parts (VR),175,,Antiquity:5;raik:2,Not Released,BBa_K237007,Not in stock,Works,Not Used,Antiquity,Tom Knight,2004-05-25,,pgroup=Primer&show=1.html.csv
BBa_G00103,M13-F (-20), ,,,Not Released,,Not in stock,Works,Not Used,Part Editors,Tom Knight,2006-06-08,,pgroup=Primer&show=1.html.csv
BBa_G00104,M13-R (-26), ,,,Not Released,,Not in stock,Works,Not Used,Part Editors,Tom Knight,2006-06-08,,pgroup=Primer&show=1.html.csv
BBa_G00105,M13-F (-40), ,,,Not Released,,Not in stock,Works,Not Used,Part Editors,Tom Knight,2006-06-08,,pgroup=Primer&show=1.html.csv
BBa_G00106,M13-F (-46), ,,,Not Released,,Not in stock,Works,Not Used,Part Editors,Tom Knight,2006-06-08,,pgroup=Primer&show=1.html.csv
BBa_G00107,M13-R (-46), ,,,Not Released,,Not in stock,Works,Not Used,Part Editors,Tom Knight,2006-06-08,,pgroup=Primer&show=1.html.csv
BBa_G00108,"SP6 universal primer, 18-mer", ,,,Not Released,BBa_K2037000,Not in stock,Works,Not Used,iGEM07_Example,Reshma Shetty,2008-10-17,,pgroup=Primer&show=1.html.csv
BBa_G00109,"SP6 promoter sequencing primer, 24-mer", ,,,Not Released,,Not in stock,Works,Not Used,iGEM07_Example,Reshma Shetty,2008-10-17,,pgroup=Primer&show=1.html.csv
BBa_G00110,"T3 promoter sequencing primer, 17-mer  ", ,,,Not Released,,Not in stock,Works,Not Used,iGEM07_Example,Reshma Shetty,2008-10-17,,pgroup=Primer&show=1.html.csv
BBa_G00111,"T3 promoter primer, 20-mer", ,,,Not Released,,Not in stock,Works,Not Used,iGEM07_Example,Reshma Shetty,2008-10-17,,pgroup=Primer&show=1.html.csv
BBa_G00112,"T3 promoter sequencing primer, 24-mer", ,,,Not Released,,Not in stock,Works,Not Used,iGEM07_Example,Reshma Shetty,2008-10-17,,pgroup=Primer&show=1.html.csv
BBa_G00113,"T7 promoter sequencing primer, 20-mer", ,,,Not Released,BBa_K923003;BBa_K2150031;BBa_K2066537,It's complicated,Works,Not Used,iGEM07_Example,Reshma Shetty,2008-10-17,,pgroup=Primer&show=1.html.csv
BBa_G00120,Forward Primer to C0012,438,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-05-25,,pgroup=Primer&show=1.html.csv
BBa_G00121,Reverse Primer to C0012,n/a,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-05-25,,pgroup=Primer&show=1.html.csv
BBa_G00200,"Forward primer for sequencing composite parts; binds to CFP/YFP (BBa_E0020/22, BBa_E0030/32)", ,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-06-02,,pgroup=Primer&show=1.html.csv
BBa_G00201,Reverse primer for sequencing composite parts; binds to GFP (BBa_E0040),n/a,,,Not Released,,Not in stock,Works,Not Used,iGEM2006_MIT,Bartholomew Canton,2007-03-01,,pgroup=Primer&show=1.html.csv
BBa_G00400,Forward Primer to C0040,409,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-05-25,,pgroup=Primer&show=1.html.csv
BBa_G00401,Reverse Primer to C0040,n/a,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-05-25,,pgroup=Primer&show=1.html.csv
BBa_G00500,Forward Primer to C0050,434,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-06-02,,pgroup=Primer&show=1.html.csv
BBa_G00501,Reverse Primer to C0050,n/a,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-06-02,,pgroup=Primer&show=1.html.csv
BBa_G00510,Forward Primer to C0051,438,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-06-02,,pgroup=Primer&show=1.html.csv
BBa_G00511,Reverse Primer to C0051,n/a,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-06-02,,pgroup=Primer&show=1.html.csv
BBa_G00520,Forward Primer to C0052,378,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-06-02,,pgroup=Primer&show=1.html.csv
BBa_G00521,Reverse Primer to C0052,n/a,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-06-02,,pgroup=Primer&show=1.html.csv
BBa_G00530,Forward Primer to C0053, ,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-06-02,,pgroup=Primer&show=1.html.csv
BBa_G00531,Reverse Primer to C0053, ,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-06-02,,pgroup=Primer&show=1.html.csv
BBa_G00600,Forward Primer to C0060, ,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-06-02,,pgroup=Primer&show=1.html.csv
BBa_G00601,Reverse Primer to C0060, ,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,cconboy,2004-06-02,,pgroup=Primer&show=1.html.csv
BBa_G00602,Forward primer to C0062, ,,,Not Released,,Not in stock,Works,Not Used,iGEM2006_MIT,Bartholomew Canton,2007-03-29,,pgroup=Primer&show=1.html.csv
BBa_G00700,Forward primer for I0500 (pBAD),790,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,Barry Canton,2004-09-23,,pgroup=Primer&show=1.html.csv
BBa_G00701,Reverse primer for I0500 (pBAD),430,,Antiquity:5,Not Released,,Not in stock,Works,Not Used,Antiquity,Barry Canton,2004-09-23,,pgroup=Primer&show=1.html.csv
BBa_G1000,Forward primer for amplifying BioBrick plasmid backbones by PCR (Suffix-f), ,,,Not Released,BBa_G00001;BBa_M1906;BBa_K1795201;BBa_K1945013,Not in stock,Works,Not Used,iGEM2006_MIT,Jason Kelly,2008-04-22,,pgroup=Primer&show=1.html.csv
BBa_G1001,Reverse primer for amplifying BioBrick plasmid backbones by PCR (Prefix-r), ,,,Not Released,,Not in stock,Works,Not Used,iGEM2006_MIT,Jason Kelly,2008-04-22,,pgroup=Primer&show=1.html.csv
BBa_G1002,Forward primer for amplifying BioBrick plasmid backbones by PCR (Suffix-f), ,,,Not Released,,Not in stock,Works,Not Used,iGEM07_Example,Reshma Shetty,2008-10-17,,pgroup=Primer&show=1.html.csv
BBa_G1003,Reverse primer for amplifying BioBrick plasmid backbones by PCR (Prefix-r), ,,,Not Released,,Not in stock,Works,Not Used,iGEM07_Example,Reshma Shetty,2008-10-17,,pgroup=Primer&show=1.html.csv
BBa_G1004,Forward BioBrick prefix primer for amplifying BioBrick parts (BioBrick-f), ,,,Not Released,,Not in stock,Works,Not Used,iGEM07_Example,Reshma Shetty,2008-10-17,,pgroup=Primer&show=1.html.csv
BBa_G1005,Reverse BioBrick suffix primer for amplifying BioBrick parts (BioBrick-r), ,,,Not Released,,Not in stock,Works,Not Used,iGEM07_Example,Reshma Shetty,2008-10-17,,pgroup=Primer&show=1.html.csv
BBa_I749000,bchB reverse primer , ,,,Not Released,,Not in stock,Works,Not Used,iGEM07_Berkeley_LBL,Laina Magaya,2007-10-26,,pgroup=Primer&show=1.html.csv
BBa_I749001,bchB forward primer , ,,,Not Released,,Not in stock,,Not Used,iGEM07_Berkeley_LBL,Laina Magaya,2007-10-26,,pgroup=Primer&show=1.html.csv
BBa_J133700,primers tail extension EX for BioBricking, ,,,Not Released,,Not in stock,,Not Used,Presting,Norman Wang,2011-06-24,,pgroup=Primer&show=1.html.csv
BBa_J133701,primers tail extension SP for BioBricking, ,,,Not Released,,Not in stock,,Not Used,Presting,Norman Wang,2011-06-24,,pgroup=Primer&show=1.html.csv
BBa_J18907,VR2: Reverse Primer to pSB1 Biobrick Vectors (optimized VR), ,,,Not Released,,Not in stock,Works,Not Used,Affiliates,Raik Gruenberg,2009-02-26,,pgroup=Primer&show=1.html.csv
BBa_J18910,RFC 25 vector forward (suffix), ,,,Not Released,,Not in stock,Works,Not Used,Affiliates,Raik Gruenberg,2010-01-25,,pgroup=Primer&show=1.html.csv
BBa_J18911,RFC 25 vector reverse (prefix), ,,,Not Released,,Not in stock,Works,Not Used,Affiliates,Raik Gruenberg,2010-01-25,,pgroup=Primer&show=1.html.csv
BBa_K1182401,[Forward] Split β-galactosidase - ω fragment, ,,,Not Released,,Not in stock,Works,Not Used,iGEM13_UI-Indonesia,Muhammad Hanifi,2013-09-16,,pgroup=Primer&show=1.html.csv
BBa_K1182501,[Reverse] Split β-galactosidase - ω fragment, ,,,Not Released,,Not in stock,Works,Not Used,iGEM13_UI-Indonesia,Muhammad Hanifi,2013-09-16,,pgroup=Primer&show=1.html.csv
BBa_K119004,Upper primer  for aiiA with normal lacZ promoter, ,,,Not Released,,Not in stock,None,Not Used,iGEM08_LCG-UNAM-Mexico,Martín del Castillo Velasco,2008-09-29,,pgroup=Primer&show=1.html.csv
BBa_K119005,Upper primer  for aiiA with mutated lacZ promoter, ,,,Not Released,,Not in stock,None,Not Used,iGEM08_LCG-UNAM-Mexico,Martín del Castillo Velasco,2008-09-29,,pgroup=Primer&show=1.html.csv
BBa_K119007,Upper primer  for RcnA, ,,,Not Released,,Not in stock,None,Not Used,iGEM08_LCG-UNAM-Mexico,Libertad Pantoja,2008-09-29,,pgroup=Primer&show=1.html.csv
BBa_K119008,Lower primer for RcnA (BBa_K119003), ,,,Not Released,,Not in stock,,Not Used,iGEM08_LCG-UNAM-Mexico,Libertad Pantoja,2008-09-29,,pgroup=Primer&show=1.html.csv
BBa_K1441006,Mambalgin-1 Forward Primer, ,,,Not Released,,Not in stock,Works,Not Used,iGEM14_Georgia_State,Reza Alavi,2014-10-04,,pgroup=Primer&show=1.html.csv
BBa_K1441007,Mambalgin-1 reverse Primer, ,,,Not Released,,Not in stock,Works,Not Used,iGEM14_Georgia_State,Reza Alavi,2014-10-04,,pgroup=Primer&show=1.html.csv
BBa_K1441014,DNA ligase Ecor1 F primer, ,,,Not Released,,No part sequence,,No Sequence,iGEM14_Georgia_State,Matthew Brewer,2014-10-10,,pgroup=Primer&show=1.html.csv
BBa_K1441015,DNA ligase Ecor1 F primer, ,,,Not Released,,It's complicated,,Not Used,iGEM14_Georgia_State,Matthew Brewer,2014-10-10,,pgroup=Primer&show=1.html.csv
BBa_K1441016,DNA ligase R primer, ,,,Not Released,,No part sequence,,No Sequence,iGEM14_Georgia_State,Matthew Brewer,2014-10-10,,pgroup=Primer&show=1.html.csv
BBa_K1441017,DNA ligase R primer, ,,,Not Released,,It's complicated,,Not Used,iGEM14_Georgia_State,Matthew Brewer,2014-10-10,,pgroup=Primer&show=1.html.csv
BBa_K1441018,pGMCSF1, ,,,Not Released,,It's complicated,,Not Used,iGEM14_Georgia_State,Matthew Brewer,2014-10-10,,pgroup=Primer&show=1.html.csv
BBa_K1441019,pGMCSR1, ,,,Not Released,,It's complicated,,Not Used,iGEM14_Georgia_State,Matthew Brewer,2014-10-10,,pgroup=Primer&show=1.html.csv
BBa_K1443003,RFP Binding Forward Primer for Backbone Amplification, ,,,Not Released,,Not in stock,None,Not Used,iGEM14_Aalto,Lassi Vapaakallio,2014-10-09,,pgroup=Primer&show=1.html.csv
BBa_K1443004,RFP Binding Reverse Primer for Backbone Amplification, ,,,Not Released,,Not in stock,None,Not Used,iGEM14_Aalto,Lassi Vapaakallio,2014-10-09,,pgroup=Primer&show=1.html.csv
BBa_K1456007,Superoxide dismutase-1 (SOD-1) Forward primer with restriction site and kozak sequence, ,,,Not Released,,Not in stock,Works,Not Used,iGEM14_ATOMS-Turkiye,safa tapan,2014-08-13,,pgroup=Primer&show=1.html.csv
BBa_K1456008,"Superoxide Dismutase enzyme reverse primer with restriction site, two stop codon and  6X His-Tag", ,,,Not Released,,Not in stock,Works,Not Used,iGEM14_ATOMS-Turkiye,safa tapan,2014-08-13,,pgroup=Primer&show=1.html.csv
BBa_K1456009,Glutathione Peroxidase (GPx) enzyme forward primer with restriction site and kozak sequence, ,,,Not Released,,Not in stock,Works,Not Used,iGEM14_ATOMS-Turkiye,safa tapan,2014-08-13,,pgroup=Primer&show=1.html.csv
BBa_K1456010,"Glutathione Peroxidase (GPx) enzyme reverse primer with restriction site, two stop codon and  6X His", ,,,Not Released,,Not in stock,Works,Not Used,iGEM14_ATOMS-Turkiye,safa tapan,2014-08-13,,pgroup=Primer&show=1.html.csv
BBa_K1456011,Human Tissue Plasminogen Activator (tPA) enzyme forward primer with restriction site and kozak seque, ,,,Not Released,,Not in stock,Works,Not Used,iGEM14_ATOMS-Turkiye,safa tapan,2014-08-13,,pgroup=Primer&show=1.html.csv
BBa_K1456012,"Human Tissue Plasminogen Activator reverse primer with restriction site, 2 stop codons and 6X His", ,,,Not Released,,Not in stock,Works,Not Used,iGEM14_ATOMS-Turkiye,Mustafa Y&#305;lmaz,2014-08-13,,pgroup=Primer&show=1.html.csv
BBa_K1456013,Oxygen dependent degradation(ODD) domain from HIF-1a forward primer with restriction site, ,,,Not Released,,Not in stock,Works,Not Used,iGEM14_ATOMS-Turkiye,Mustafa Y&#305;lmaz,2014-08-13,,pgroup=Primer&show=1.html.csv
BBa_K1456014,Oxygen dependent degradation(ODD) domain from HIF-1a reverse primer with restriction site, ,,,Not Released,,Not in stock,Works,Not Used,iGEM14_ATOMS-Turkiye,Mustafa Y&#305;lmaz,2014-08-13,,pgroup=Primer&show=1.html.csv
BBa_K1456019,Superoxide dismutase-1 (SOD-1) Forward primer-2 with restriction site and kozak sequence, ,,,Not Released,,Not in stock,Works,Not Used,iGEM14_ATOMS-Turkiye,Mustafa Y&#305;lmaz,2014-10-22,,pgroup=Primer&show=1.html.csv
