Name,parameters
BBa_K1045012,n/a:Promoter BBa_J23110 with DarR operator;n/a:Promoter with DarR operator
BBa_K1040005,n/a:RBS(BBa_B0034)+ilvE(BBa_K1040000)
BBa_K1045013,n/a:Promoter - DarR operator - GFP generator BBa_E0240;n/a:Promoter BBa_J23110-DarR operator - BBa_E0240;n/a:Promoter -DarR operator - BBa_E0240;n/a:Promoter - DarR operator - GFP generator
BBa_K1045015,n/a:RBS reverse - Promoter reverse - Promoter - DarR operator - GFP generator;n/a:RBS BBa_B0034 with inversed Pre- and Suffix- Promoter reverse - Promoter - DarR operator - BBa_E0240;n/a:RBS reverse-Promoter reverse-Promoter-DarR operator - Bba_E0240;n/a:RBS BBa_B0034 with inversed Pre- and Suffix- Promoter reverse - Promoter - DarR operator - GFP generator
BBa_K1036000,n/a:lux pL controlled luxR with lux pR controlled ndh (LVA-tag) coding for NADH dehydrogenase II
BBa_K1045016,n/a:Terminator BBa_B0015 with inversed Pre- and Suffix- DarR ORF with inversed Pre- and Suffix;n/a:Terminator BBa_B0015 - DarR ORF with inversed Pre- and Suffix
BBa_K1072020,protein:BFP;protein:NA;function:NA;function:Reporter;function:Reporter of MAPK pathway
BBa_K1364007,n/a:RBS + Antifungal GAFP-1 + Double terminator
BBa_K1364017,n/a:Promotor PlepA  + RBS spoVG
BBa_K1405004,"chassis:E.coli BL21;device_type:NA;chassis:NA;family:NA;ligands:NA;device_type:Chemotaxis receptor;origin:NA;family:McpS;origin:P. putida;resistance:NA;ligands:malate, succinate;resistance:Chloramphenicol"
BBa_K1407000,n/a:RBS(B0034)+RhlR+RhlR/PAI2 Inducible promoter +RBS(B0030)+RFP
BBa_K1415101,n/a:Pcons+B0034+PBAN(Bombyx mori) 
BBa_K257014,n/a:Ptet + RFP
BBa_K283035,n/a:RFP-double terminators
BBa_K346004,n/a:RBS(B0034)_MBP(lead metal binding peptide egineered from PbrR)+Terminator(B0015);n/a:RBS(B0034)_MBP(lead metal binding peptide egineered from MerR)+Terminator(B0015)
BBa_K515100,device_type:NA;chassis:NA;control:NA;resistance:chloramphenicol;origin:NA;origin:P. savastanoi;control:K515010;output:NA;output:indole-3-acetic acid ;input_s:NA;resistance:NA;chassis:E. coli DH5&#945;;input_s:tryptophan;device_type:pathway
BBa_K515102,device_type:NA;control:NA;control:J23100;origin:P. aeruginosa;chassis:NA;ligands:NA;device_type:Chemotaxis receptor;origin:NA;chassis:E. coli DH5&#945;;resistance:NA;ligands:Malate;resistance:Chloramphenicol
