 Team  ,Year,SimpleDescription,Description,Keywords,Chassis
BIOSINT_Mexico,2015,A biosensor that expresses chromoprotein reporters to create a colorful bacterial photography,"This project aims to bioengineer E. coli to serve as a biosensor that expresses chromoprotein reporters. Two light receptors were used, one for red light-sensing, cph8, and one for the blue light-sensing, YF1. 
When the bacteria are irradiated with an specific wavelength of 660nm, 470 nm, amilGFP and chromoprotein spisPink’s expression is repressed. When the system is in total darkness both proteins are expressed and a third colour is formed.
This project aims to bioengineer E. coli to serve as a biosensor that expresses chromoprotein reporters. Two light receptors were used, one for red light-sensing, cph8, and one for the blue light-sensing, YF1. 
When the bacteria are irradiated with an specific wavelength of 660nm, 470 nm, amilGFP and chromoprotein spisPink’s expression is repressed. When the system is in total darkness both proteins are expressed and a third colour is formed.
",photography; color; biosensor,E.Coli K12
NYU_Shanghai,2015,This project translates the color and positions of bacteria colonies on a plate into sound composition.,"There are three main components to the bacterial music generator: (1) bacteria colonies (2) tube rack (3) button control. We engineered bacteria to express different colors and lights through chromoproteins, fluorescent proteins, luciferase, and oscillating amounts of luciferase. We then translated bacterial colonies on a plate into a step sequencer, which creates patterned expressions of sound. The tube rack and button control add extra layers of interaction and control.",music; machine,E.Coli
SVA-NYC,2015,Applying color as a metric for soil nutritional analysis by Mobile App,We engineered E. coli K-12 to express various chromoproteins in the presence of molecules that pertain to soil and plant nutrition. E. coli K-12 are placed on the microfluidic cartridge which will be loaded into a portable device and integrated with phone and it’s case. The “color data” can be captured and measured by the phone’s camera. This data will be instantly uploaded to provide accurate feedback regarding what crops are ideal for the current soil conditions and what measures need to be taken to adjust soil for desired crops.,Nutrition; Measurement; app; phone; Soil,E.Coli K12
Genspace,2015,The project developed three biosensors for sewage and mining metabolic and detoxification pathways for pullutions through extremophile.,"We attempted to construct three different biosensors for sewage based on quorum sensing or nitrogen sensing coupled to production of a colorful reporter to provide the community with a visual indicator of water quality.
We mine the canal bottom extremophile DNA for metabolic and detoxification pathways to metabolize toxic compounds and may be useful for remediation. We completed experiments by using degenerate PCR primers that recognize antibiotic synthesis pathways.
We attempted to construct three different biosensors for sewage based on quorum sensing or nitrogen sensing coupled to production of a colorful reporter to provide the community with a visual indicator of water quality.
We mine the canal bottom extremophile DNA for metabolic and detoxification pathways to metabolize toxic compounds and may be useful for remediation. We completed experiments by using degenerate PCR primers that recognize antibiotic synthesis pathways.
",biosensor; pollution; water; extremophile,Pseudomonas aeruginosa; Escherichia coli
London_Biohackspace,2015,"develop an all-in-one toolbox for creating designer brewing yeast strains that can be modified to produce beers with novel flavours, scents, colours, nutrients and bioluminescence.","The project aims to develop an all-in-one toolbox for creating designer brewing yeast strains that can be modified to produce beers with novel flavours, scents, colours, nutrients and bioluminescence. Additional parts are created that allow designers to regulate the level of expression of inserted proteins thus giving users the ability to create novel brewing strains. The project explores how effective such organisms are in producing genuinely novel drink products that can challenge what beer can be, and produces an example product for the future of home brewing: a variety pack / kit for home brewers to experiment with different varieties of engineered yeast in their home brewing endeavours.",brewery; beer; yeast,yeast
SF_Bay_Area_DIYBio,2015,"Generating shinorine, a UV absorbing compound by E. coli to make it UV resistant.","E.coli can easily be killed by UV light. By equipping it with the genes to produce UV absorbing compounds, we expect that the E. coli will become UV resistant as well. We will employ “directed evolution” to make the process better. We think that if we stress the bacteria with UV that they will start to evolve better and more efficient mechanisms to protect themselves from UV.",UV; directed evolution; MAAs,E. coli
Wellesley_TheTech,2015,An interactive exhibit that makes use of key human computer interaction concepts to introduce users to core synthetic biology concepts.,"This digital component of the exhibit uses powerful multitouch surfaces that serve as makerspaces for users to digitally engineer and test bacteria that are helpful for extreme environments such as Mars, Antarctica, and the Deep Sea. The wet-lab component complements to the experience by providing visitors with the opportunity to create colorful representations of the bacteria they created virtually. This project aims to design, prototype, and evaluate a new interactive museum exhibit that engages visitors in a bio-design activity while facilitating learning of bio design concepts and skills. The goal is to create a novel bio-tinkering platform designed for non-scientists to foster skills for invention and innovation.",Education; Platform; Hardware,
Aalto-Helsinki,2015,This project design an Eschericia coli capable of producing propane from cellulose in usage of fuel.,This project design an Eschericia coli capable of producing propane from cellulose in usage of fuel.,Propane; Cellulose; Green energy,Escherichia coli BL21 (DE3)
Amsterdam,2015,we aimed to engineer a synthetic consortium between photoauxotrophic cyanobacteria and chemoheterotrophs (like E. coli) to turn CO2 into useful carbon product. ,"The basic premise of our consortium’s functionality is simple: a phototroph (Synechocystis PCC 6803 in the case of our prototype consortium) fixates CO2 and converts it to relatively simple carbon compounds. These compounds serve as fuel for a chemoheterotroph (E. coli in the same prototype case), which uses the compounds to produce a desired end-product. Since the CO2-fixating, carbon-sharing Synechocystis is essentially modular, it can be coupled to a multitude of biotechnological production processes to make these processes sustainable, including the dozens of iGEM projects that use E. coli for bioproduction!",Carbon dioxide; Carbon production,Synechocystis PCC6803; E. coli
CHINA_CD_UESTC,2015,Building a enzymatic biofuel cell to exploited energy from bacteria.,"With two high-efficiency oxidases, glucose oxidase and laccase, which could be used in anode region and cathode region respectively. The project constructed to make E.coli produce magnetosomes carrying laccase to enrich it on the cathode.",Enzymatic biofuel cell (EBFC); Magnetotactic bacteria (MTB),E.coli
