Year,Team,SimpleDescription
2009,Gaston_Day_School,Gaston Day School iGEM team decided to not only to attempt to create a biological nitrate detector but also demonstrate how a high school team with limited means similar to their situation could establish an iGEM team and compete in the iGEMs competition. ,
2009,Groningen,Heavy metal scavengers with a vertical gas drive.The metal selective microbacterial cleaning system for arsenic was shown to be buoyant and the buoyancy module and uptake module theyre shown to work individually. For a better determination of the system an accumulation assay need to be redone. It was shown here that the system has potential as a cleaning system for arsenic. As mentioned earlier this modular system can also be implemented in cleaning of other substances.,
2009,Imperial_College_London,"Imperial College London team present the world with The E.ncapsulator; a versatile manufacturing and delivery platform by which therapeutics can be reliably targeted to the intestine. E.coli chassis progresses through a series of defined stages culminating in the production of a safe, inanimate pill. This sequential process involves drug production, protective encapsulation and genome deletion. The temporal transition bettheyen each of these stages is controlled by physical and chemical methods, showing a clear engineering approach to tackle this problem.",
2009,HKUST,"It is going to serve as a modeling system to screen for GPCRs that bind to certain ligands. It will also mark the start of creating yeast strains that would help curb specific insect vectors, such as mosquitoes and cockroaches.Thus, it is likely that it will benefit under-developed countries where economic incentive is essential for adopting environmental friendly alternatives of pesticides. ",
2009,HKU-HKBU,"Many of these nanorobots lack a reliable propulsion potheyr stheirce to operate and this remains one of the biggest obstacles to their popularization in clinical practice. ""Bactomotor"" aims to overcome these problems to bring about a foundational and pioneering advancement in the field.This model can be divided into THREE Devices:Micro-motor,Direction Controller,Speed Controller",
2009,IPOC1-Colombia,"Molecular Device to Detect Sea Salinity.Different gene parts are being assembled in order to construct a device that is able to detect different salinity levels in the sea.The device is tested against different concentrations of sodium chloride, fluorid calcium Different and magnesium DNA such reporter fluorescence. ",
2009,Harvard,"Optical communication is virtually unknown bettheyen unicellular organisms, much less bettheyen unicellular organisms of different kingdoms of life. This team has constructed a system that allows for interspecies, bacteria-to-yeast optical communication. In this system, bacteria to communicate to yeast the presence of IPTG, which results in transcription of lacZ in the yeast cells. ",
2009,IPOC2-Colombia,"Some pesticides are very stable in their chemical structures and take years to decompose to less toxic forms.Different gene parts are being assembled, in order to construct a device that is able to mineralize and biodegrade recalcitrant pesticides. The device will be tested against different concentrations of different recalcitrant pesticides. ",
2009,Illinois-Tools,"The capabilities of this program will be exemplified by establishing a network for the synthesis of a biofuel and a pharmaceutical from various input compounds, as theyll as the elimination of a toxin.This program is modular and has 4 major components,obtaining reactions , using all the reactions from their database to create a network, writing the script to assign the appropriate theyight to each edge and determining the path of least theyight, using the resulting pathway to obtain additional information such as a stoichiometric matrix, enzymes that catalyze a specific reaction, and the genes associated with those enzymes. ",
2009,Illinois,"The Illinois iGEM team has been working to engineer a decoder function within E. coli. Decoders are logic devices used frequently in low-level computer architecture. They are creating a 2 to 4 decoder, which takes two binary inputs to activate one of ftheir outputs. Each output corresponds to a specific combination of the inputs. With the presence of lactose and arabinose, their Bacterial Decoder will express Green Fluorescent Protein. If only lactose is present, a different fluorescent protein will be expressed. ",
