Team ID , Team  , Year,score
1362,Heidelberg,2014,92.91510401
1893,Imperial_College,2016,84.3
1415,NCTU_Formosa,2014,80.08
323,Slovenia,2010,78.61312419
1758,Bielefeld-CeBiTec,2015,77.76
1321,Imperial,2014,76.24385619
818,Groningen,2012,75.494248
1497,TU_Darmstadt,2014,74.98385619
1159,TU-Munich,2013,74.10670401
1172,Bielefeld-Germany,2013,73.371525
1690,Czech_Republic,2015,73.14
782,Slovenia,2012,72.419552
1104,NYMU-Taipei,2013,72.3916
1614,Heidelberg,2015,71.74
1583,TU_Delft,2015,71.069925
2170,LMU-TUM_Munich,2016,71
1959,SCAU-China,2016,70.84
274,Cambridge,2009,70.16363319
823,LMU-Munich,2012,69.571774
1610,TAS_Taipei,2015,69.249925
316,Imperial_College_London,2010,69.13985
1315,Dundee,2014,68.64
1150,Freiburg,2013,67.17492568
1319,Aachen,2014,67.15558928
1996,Sydney_Australia,2016,66.6
1795,William_and_Mary,2015,66.069925
1493,Wageningen_UR,2014,65.288
1699,BGU_Israel,2015,65.14
200,Imperial_College_London,2009,63.80248968
902,Calgary,2012,63.4
1149,Imperial_College,2013,63.209925
346,Peking,2010,63.149852
1137,Paris_Bettencourt,2013,62.8
222,Valencia,2009,62.02942
1890,TU_Delft,2016,61.7
325,Cambridge,2010,59.969925
914,Paris_Bettencourt,2012,59.616784
1352,Aberdeen_Scotland,2014,59.44
415,MIT,2010,58.48057944
1961,HSiTAIWAN,2016,57.84
921,Carnegie_Mellon,2012,57.749852
143,Imperial_College,2008,57.6
203,Heidelberg,2009,57.6
2053,Pasteur_Paris,2016,57.54
844,Utah_State,2012,57.14047944
1152,Heidelberg,2013,57
1189,Calgary,2013,56.2016
133,Slovenia,2008,56.17492568
1650,Marburg,2015,56.14
515,Imperial_College_London,2011,55.81470984
1403,Paris_Bettencourt,2014,54.62
1582,Tianjin,2015,54.51470984
243,Freiburg_bioware,2009,53.969925
1595,Cornell,2015,53.72
137,Caltech,2008,53.53985
831,Colombia,2012,53.4
1934,INSA-Lyon,2016,52.44
1993,SYSU-MEDICINE,2016,51.66
2061,Tel-Hai,2016,51.16
1692,Stanford-Brown,2015,50.9
150,Heidelberg,2008,50.81378119
381,BCCS-Bristol,2010,50.80176
1324,UC_Davis,2014,50
1073,Braunschweig,2013,49.96
1921,TJUSLS_China,2016,49.9
1061,SYSU-China,2013,49.4
606,Paris_Bettencourt,2011,49.01470984
590,Washington,2011,49
537,WITS-CSIR_SA,2011,48.6
1420,Minnesota,2014,48.48
540,Lyon-INSA-ENS,2011,48.04385619
1585,Aachen,2015,47.9
819,Peking,2012,47.8
743,UC_Chile,2012,47.4
1989,Peking,2016,47.38
1051,Shenzhen_BGIC_ATCG,2013,47.21378119
1139,Tokyo_Tech,2013,47.2
737,OUC-China,2012,46.71886324
1965,Slovenia,2016,46.6
223,Stanford,2009,46.4
398,TU_Delft,2010,46.4
1898,TAS_Taipei,2016,46.1
1974,NCTU_Formosa,2016,46
1112,Valencia_Biocampus,2013,45.96
1674,Technion_Israel,2015,45.9
157,Freiburg,2008,45.84385619
314,Washington,2010,45.62934
