Team ID,Team,Region,Country,Track,Size,Status,Year,Wiki,Section,Medal,Award,Parts,Title,Abstract
1319,Aachen,Europe,Germany,Measurement,20,Accepted,2014,http://2014.igem.org/Team:Aachen,Collegiate,gold medal,Best Supporting Software- Overgrad;Safety Commendation- Overgrad;Best Measurement Project,BBa_K1319002;BBa_K1319004;BBa_K1319020;BBa_K1319040;BBa_K1319042;BBa_K1319000;BBa_K1319001;BBa_K1319003;BBa_K1319007;BBa_K1319009;BBa_K1319010;BBa_K1319011;BBa_K1319012;BBa_K1319013;BBa_K1319015;BBa_K1319016;BBa_K1319017;BBa_K1319106;BBa_K1319107,"Cellock Holmes - a novel SynBio platform to detect pathogens
","Detection and identification of microbial contaminations on hard surfaces are vital to reduce the incidence of nosocomial infections and to alleviate the pressure on health care systems. Existing techniques pose limitations, as they do not combine effective, economical and rapid detection. The Cellock Holmes project aims to tackle these challenges all at once. By combining native microbial sensing systems, such as quorum sensing, with open source biology, hardware and software, a novel two-dimensional biosensor is developed. Cellock Holmes’ simple, modular and open design enables the end user to test solid surfaces for microbial contamination without any expensive equipment or highly trained personnel. The working concept is demonstrated using one of the most prevalent human pathogens, Pseudomonas aeruginosa. The versatile biosensing system, however, can be easily customized to detect other pathogens as well.  
"
1585,Aachen,Europe,Germany,Manufacturing,24,Accepted,2015,http://2015.igem.org/Team:Aachen,Collegiate,gold medal,Best Manufacturing Project- Overgrad;Nominated for Best Software Tool- Overgrad,BBa_K1585100;BBa_K1585101;BBa_K1585102;BBa_K1585103;BBa_K1585104;BBa_K1585105;BBa_K1585106;BBa_K1585110;BBa_K1585113;BBa_K1585115;BBa_K1585116;BBa_K1585117;BBa_K1585118;BBa_K1585119;BBa_K1585200;BBa_K1585201;BBa_K1585202;BBa_K1585203;BBa_K1585210;BBa_K1585211;BBa_K1585212;BBa_K1585213;BBa_K1585220;BBa_K1585221;BBa_K1585222;BBa_K1585223;BBa_K1585240;BBa_K1585300;BBa_K1585301;BBa_K1585310;BBa_K1585311;BBa_K1585312;BBa_K1585320;BBa_K1585995;BBa_K1585996;BBa_K1585997;BBa_K1585998;BBa_K1585999,"Aalto-Helsinki Bioworks - A Synthetic Biology Startup with a Three-Channel Gene Switch
","We have engineered a three-channel switch that is controlled with the intensity of blue light. By utilizing the mechanisms of the lambda repressor, we are able to switch between the expressions of three different genes with a short delay. This kind of mechanism provides a nearly real-time control over genes, which could provide advantages in variety of industrial bioprocesses.

Inspired by the principles of open source software, we introduce an Open Sequence business model implemented around our switch. We want to encourage future companies to create Open Sequence based solutions and to empower customers to participate in the product development. Open Sequence model’s transparency as well as lower degree of protection raises trust and continuity and benefits larger community.

We want to share our experiences and insights in biotech entrepreneurship and address the difficulties that students and newcomers may face in the early stages of building a synthetic biology startup.

"
2020,Aachen,Europe,Germany,New Application,22,Accepted,2016,http://2016.igem.org/Team:Aachen,Collegiate,gold medal,Nominated for Best Hardware- Overgrad;Nominated for Best New Application Project- Overgrad,BBa_K2020000;BBa_K2020001;BBa_K2020002;BBa_K2020003;BBa_K2020004;BBa_K2020005;BBa_K2020006;BBa_K2020023;BBa_K2020026;BBa_K2020040;BBa_K2020043;BBa_K2020045;BBa_K2020046;BBa_K2020050;BBa_K2020051;BBa_K2020052;BBa_K2020053;BBa_K2020054;BBa_K2020055;BBa_K2020056;BBa_K2020057;BBa_K2020058;BBa_K2020059;BBa_K2020060;BBa_K2020061,"LIPs - Light Inducible Proteases
","Photocaging is a remarkable method of compound inhibition that can be reversed by exposure to light. Previously, it had been used for intracellular studies. We wish to apply this method to industrially needed proteins as well and call attention to its usefulness there.
As an example we would like to render the use of high quantities of the chemical enzyme inhibitor boric acid unnecessary, which is classified as a substance of very high concern by the European Chemicals Agency.
At the moment, boric acid is used for protease inhibition in washing detergents and dilution in the washing machine activates it again. Thus, tons of it are being processed every year. 
Photocaging could help circumvent this. A photocaged amino acid will be incorporated at a crucial position in the enzyme by genetic codon reassignment. Prior to the washing procedure the enzyme can be easily activated by exposure to a light source.
"
1443,Aalto-Helsinki,Europe,Finland,Entrepreneurship,11,Accepted,2014,http://2014.igem.org/Team:Aalto-Helsinki,Collegiate,blocked medal,Best Wiki- Undergrad,BBa_K1443000;BBa_K1443001;BBa_K1443002;BBa_K1443003;BBa_K1443004,"Aalto-Helsinki Bioworks - A Synthetic Biology Startup with a Three-Channel Gene Switch
","We have engineered a three-channel switch that is controlled with the intensity of blue light. By utilizing the mechanisms of the lambda repressor, we are able to switch between the expressions of three different genes with a short delay. This kind of mechanism provides a nearly real-time control over genes, which could provide advantages in variety of industrial bioprocesses.

Inspired by the principles of open source software, we introduce an Open Sequence business model implemented around our switch. We want to encourage future companies to create Open Sequence based solutions and to empower customers to participate in the product development. Open Sequence model’s transparency as well as lower degree of protection raises trust and continuity and benefits larger community.

We want to share our experiences and insights in biotech entrepreneurship and address the difficulties that students and newcomers may face in the early stages of building a synthetic biology startup.

"
1655,Aalto-Helsinki,Europe,Finland,Energy,12,Accepted,2015,http://2015.igem.org/Team:Aalto-Helsinki,Collegiate,gold medal,,BBa_K1655000;BBa_K1655001;BBa_K1655002,"Fuel for the Future: E. coli producing renewable propane from cellulose
","Climate change is argued to be one of the greatest challenges faced by mankind. Its primary cause is believed to be man-made CO2 emissions from transportation and electricity production. To tackle the issue of transportation emissions, we want to produce sustainable propane in Escherichia coli using cellulosic feedstock. The pathway is a patchwork of 10 different enzymes from different organisms, such as Mycobacterium marinum and Bacillus subtilis. We built a model of the pathway to identify its bottlenecks and concentrate our engineering efforts on them. To elevate our propane from a food crop -based  first generation biofuel to the second generation, we are integrating a secretion system for cellulose hydrolysing enzymes. To innovatively enhance our production system, we are bringing the two final enzymes of our pathway into close proximity by fusing them with micelle-forming amphiphilic proteins. This increases theoretical yield, bringing us one step closer to commercially viable biopropane.
"
1907,Aalto-Helsinki,Europe,Finland,Environment,13,Accepted,2016,http://2016.igem.org/Team:Aalto-Helsinki,Collegiate,gold medal,,BBa_K1907000;BBa_K1907001;BBa_K1907002;BBa_K1907003;BBa_K1907004;BBa_K1907005;BBa_K1907006;BBa_K1907007;BBa_K1907008;BBa_K1907009,"LIPs - Light Inducible Proteases
","Photocaging is a remarkable method of compound inhibition that can be reversed by exposure to light. Previously, it had been used for intracellular studies. We wish to apply this method to industrially needed proteins as well and call attention to its usefulness there.
As an example we would like to render the use of high quantities of the chemical enzyme inhibitor boric acid unnecessary, which is classified as a substance of very high concern by the European Chemicals Agency.
At the moment, boric acid is used for protease inhibition in washing detergents and dilution in the washing machine activates it again. Thus, tons of it are being processed every year. 
Photocaging could help circumvent this. A photocaged amino acid will be incorporated at a crucial position in the enzyme by genetic codon reassignment. Prior to the washing procedure the enzyme can be easily activated by exposure to a light source.
"
182,Aberdeen_Scotland,Europe,United Kingdom,New Application,21,Accepted,2009,http://2009.igem.org/Team:Aberdeen_Scotland,Collegiate,gold medal,,BBa_K182002;BBa_K182003;BBa_K182004;Lambda CI promoter (BBa_R0051) with a point mutation in -35 region.;BBa_K182103,"A Synthetic Biology Approach to Pipe Repair: The Pico-Plumber
","Damage to inaccessible pipe systems, such as computer cooling circuits, is difficult to rectify. An Escherichia coli synthetic biology circuit for pipe repair was designed. Pipe breach detection and the restoration of pipe integrity were implemented through exploitation of chemotaxis, and cell lysis that releases a two-component protein-based glue (lysyl oxidase and tropoelastin). Control was achieved using an AND gate with quorum sensing and the lac inducer IPTG (released from the breach) as inputs. Deterministic and stochastic models of the genetic circuit, integrated with an agent-based model of E.coli cells, were used to define the effective radii of cell migration and timing of lysis. Constructed AND gate, quorum sensing and lysis timing modules were experimentally tested. The two-component glue concept was successfully validated using in vitro alpha-omega complementation of beta-galatosidase activity. Finally, a proposal for an igem.org-based parameter database was developed to aid the rapid identifation of BioBricks parameter values. 
"
385,Aberdeen_Scotland,Europe,United Kingdom,New Application,17,Accepted,2010,http://2010.igem.org/Team:Aberdeen_Scotland,Collegiate,silver medal,,BBa_K385000,"LIPs - Light Inducible Proteases
","Photocaging is a remarkable method of compound inhibition that can be reversed by exposure to light. Previously, it had been used for intracellular studies. We wish to apply this method to industrially needed proteins as well and call attention to its usefulness there.
As an example we would like to render the use of high quantities of the chemical enzyme inhibitor boric acid unnecessary, which is classified as a substance of very high concern by the European Chemicals Agency.
At the moment, boric acid is used for protease inhibition in washing detergents and dilution in the washing machine activates it again. Thus, tons of it are being processed every year. 
Photocaging could help circumvent this. A photocaged amino acid will be incorporated at a crucial position in the enzyme by genetic codon reassignment. Prior to the washing procedure the enzyme can be easily activated by exposure to a light source.
"
1352,Aberdeen_Scotland,Europe,United Kingdom,Health & Medicine,11,Accepted,2014,http://2014.igem.org/Team:Aberdeen_Scotland,Collegiate,gold medal,Best Innovation in Measurement- Overgrad;Best Health & Medicine Project- Overgrad,BBa_K1352002;BBa_K1352003;BBa_K1352004;BBa_K1352006;BBa_K1352010;BBa_K1352012,"E.coli display of peptide mimotopes, integrated with quorum-sensing AND logic, for diagnosis of tropical diseases
","Trypanosoma.b. gambiense, the causative agent of Trypanosomiasis (African Sleeping Sickness) infects 30,000 people worldwide, with 60 million at disease risk. Unrecognised, this disease is fatal, but accurate diagnosis, relying on detection of patient serum antibodies against two different trypanosomal antigens, allows successful treatment. We engineered autotransporters Ag43 and ice-nucleation protein to successfully express surface epitopes in E.coli that mimic two different trypanosomal antigens. Two E.coli strains were generated, each expressing a distinct surface epitope and either a quorum sensing (QS) sender or receiver module respectively. Immune pull-down of each strain, and their subsequent co-culture, produced a quorum signal, indicating successful detection of two distinct antibody populations in a serum sample.  We constructed a cheap, Raspberry Pi computer-controlled fluorimeter suitable for developing countries, showing it could detect QS fluorescence output. This novel application of antigen display, and quorum sensing to implement AND logic sensing, facilitates cheap, simple diagnosis of tropical diseases.


"
1261,Acton-BoxboroughRHS,North America,United States,Food & Energy(P),18,Accepted,2014,http://2014.igem.org/Team:Acton-BoxboroughRHS,High School,,,,"Project E. coli Luwak
","Kopi Luwak coffee is the rarest and the most expensive type of coffee in the world, and is processed from feces of the Asian Palm Civet (Paradoxurus hermaphroditus). As the coffee berries are digested, bitter components of the coffee bean are broken down. Later, the beans are cleaned, roasted, and brewed to make the Kopi Luwak coffee.
The problem with the procedure today is that farming industries keeps tens of thousands of civets living in battery cages, and force-feeds them only coffee berries. As a result of the treatment, the Asian Palm Civet population is declining.
We propose to make this process humane, efficient, and sanitary by instead using bacteria to produce the coffee. We will accomplish this by genetically engineering E. coli with genes for various digestive enzymes, thus simulating the digestive process of the civets with coffee berries so we can finally save the Asian Palm Civets.
"
470,Africa,Africa,,,5,Accepted,2006,http://2006.igem.org/Team:Africa,Collegiate,blocked medal,,,"-- Not provided yet --
","-- No abstract provided yet --
"
1196,AHUT_China,Asia,China,Environment,17,Accepted,2013,http://2013.igem.org/Team:AHUT_China,Collegiate,bronze medal,,BBa_K1196007;BBa_K1196000;BBa_K1196001;BBa_K1196004;BBa_K1196005;BBa_K1196006;BBa_K1196008;BBa_K1196009;BBa_K1196010;BBa_K1196011;BBa_K1196012;BBa_K1196013;BBa_K1196014;BBa_K1196015;BBa_K1196016;BBa_K1196017;BBa_K1196018;BBa_K1196019;BBa_K1196020;BBa_K1196021;BBa_K1196022;BBa_K1196023;BBa_K1196024,"Shining Sanctifier 
","Water, the origin of life, is the necessary and elementary component of our daily life. 
Various kinds of means have been developed to dispose nitrite and ammonium which are the main contaminants of this type of effluent. One of them is anaerobic ammonium oxidation bacteria (anammox) which can convert the fomite in the water into nitrogen.
Our goal is to design a wastewater treatment system which can absorb the pollutant efficiently while transform it into luminous energy. We plan to use E.coli to design a bacterium that can digest the nitrite and ammonium in its interior using the disposal system from the anammox. Through the introduction of luciferase, the energy can be transformed into bioluminescence. Therefore, we named it Shining Sanctifier. This new star in synthetic biology will be applied to the sewage treatment system on a large scale while it can also be made into illuminating system.

"
1341,AHUT_China,Asia,China,Information Processing,24,Accepted,2014,http://2014.igem.org/Team:AHUT_China,Collegiate,silver medal,,BBa_K1341009;BBa_K1341011;BBa_K1341000;BBa_K1341001;BBa_K1341002;BBa_K1341003;BBa_K1341004;BBa_K1341005;BBa_K1341006;BBa_K1341007;BBa_K1341008;BBa_K1341010;BBa_K1341020;BBa_K1341022;BBa_K1341023;BBa_K1341999,"BIO-COMPASS
","The aim of our project is to build a brand new bio-navigational system that can be used by the ordinary people.
The map information will be coded in DNA strand and do corresponding biochemical operations. 
The bio-navigational database will establish the relationship between biochemical operation instructions and traditional navigation instructions. In order to reduce workload in advance， BIO-COMPASS can also screen reaction conditions according to the road conditions. 
Furthermore, we try to update the system to adapt to the more complex path plans. For this, we design some special enzyme sites which differ from standard bio-bricks’ as the function interfaces. For example, “Logic Gate” genetic device can be inserted in our system to help us solve the path plan which include a transfer station between the start and the destination. 
BIO-COMPASS will find the best solution by using a variety of detection methods such as electrophoresis and reporter gene.  

"
1751,AHUT_China,Asia,China,Food & Nutrition,37,Accepted,2015,http://2015.igem.org/Team:AHUT_China,Collegiate,silver medal,,BBa_K1751000;BBa_K1751002;BBa_K1751003,"Nutrition Commander:A bio-device can control the APeGs of the plant metabolism
","Acyl Phenylethanoid Glycosides（APeGs）plays a very important role in various plants that can bring benefits to human beings through their physiological activity. However, in natural plants, APeGs' low production and great difference have led to great disparity of food quality, making it hard to be effectively used. In order to control and ensure the quality of products more effectively, we have used biotechnology to look into physiological metabolic pathways of APeGs, and influences on the products exerted by the regulation and control of different key enzymes. Thus plants whcih contain more stable APeGs can be gained to benifit human beings in a better way.
"
2044,AHUT_China,Asia,China,Information Processing,32,Accepted,2016,http://2016.igem.org/Team:AHUT_China,Collegiate,bronze medal,,BBa_K2044000;BBa_K2044001;BBa_K2044002;BBa_K2044003;BBa_K2044004;BBa_K2044005;BBa_K2044006;BBa_K2044007;BBa_K2044008;BBa_K2044009;BBa_K2044010;BBa_K2044011;BBa_K2044012;BBa_K2044013;BBa_K2044014;BBa_K2044015;BBa_K2044016;BBa_K2044017;BBa_K2044018;BBa_K2044019;BBa_K2044020;BBa_K2044021;BBa_K2044022,"BIO-COMPASS 2.0
","A new updated version of bio–navigational system that enables a faster acquisition of optimal pathway will be built by the BIO-COMPASS 2.0 to break the limitations of computational capacity in the big data era. DNA will be used to encode the information of points and pathways on the map, and log into the bio-navigation database. In this way, each feasible solution can be obtained by the corresponding biochemical operation. Because of the high parallelism of the DNA calculation, the solution is rapid. Then by selecting the feasible solutions, finally determine the optimal solution. Compared with AHUT_China 2014's project, BIO-COMPASS 2.0 has added identification site, path length, and adjacent site number information into the DNA sequence used for path expressing. Besides, Quaternary has been applied in our calculation to optimize the data extraction methods. These improvements have boosted our system’s practicability and suitability when it is applied into more complex navigation.

"
