Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I0462,luxR Protein Generator,936,1,,Released HQ 2013,,In stock,Works,74 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-04,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_rct&show=1.csv
BBa_J45199,Banana odor enzyme (ATF1) generator,1739,1,Reshma Shetty:5,Released HQ 2013,,In stock,Works,4 Uses,iGEM2006_MIT,André Green II,2006-10-28,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_rct&show=1.csv
BBa_J45219,Banana odor enzyme (ATF1) generator,1737,,,Released HQ 2013,,In stock,Works,1 Uses,iGEM2006_MIT,André Green II,2006-10-28,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_rct&show=1.csv
BBa_J45299,PchA & PchB enzyme generator,1894,,,Released HQ 2013,,In stock,Works,Not Used,iGEM2006_MIT,André Green II,2006-10-28,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_rct&show=1.csv
BBa_J45319,PchA & PchB enzyme generator,1892,1,UniTN-Trento2013:4;Reshma Shetty:3,Released HQ 2013,BBa_K1065103,In stock,Works,1 Uses,iGEM2006_MIT,André Green II,2006-10-28,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_rct&show=1.csv
BBa_I1468,CinR protein generator ,884,,Antiquity:0,Released HQ 2013,,In stock,None,2 Uses,Antiquity,Barry Canton,2004-08-10,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_rct&show=1.csv
BBa_P0140,PoPS -> TetR  [S0163],842,1,,Released HQ 2013,,In stock,,10 Uses,Antiquity,Randy Rettberg,2004-04-25,"Spring 2017 Distribution;MIT Distribution 4.04 -> BioBricks 2;Spring 2016 Distribution;MIT Distribution 4.04 -> BioBricks 2;Spring 2015 Distribution;MIT Distribution 4.04 -> BioBricks 2;Spring 2014 Distribution;MIT Distribution 4.04 -> BioBricks 2
",pgroup=generator_rct&show=1.csv
BBa_P0151,PoPS -> cI (lambda)   [S0165],932,1,,Released HQ 2013,BBa_K228238,In stock,,7 Uses,Antiquity,Randy Rettberg,2004-04-25,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_rct&show=1.csv
BBa_P0152,PoPS -> cI (434)   [S0166],851,1,,Released HQ 2013,,In stock,,4 Uses,Antiquity,Randy Rettberg,2004-04-25,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_rct&show=1.csv
BBa_P0153,PoPS -> cII (p22)   [S0167],869,1,,Released HQ 2013,,In stock,,2 Uses,Antiquity,Randy Rettberg,2004-04-25,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_rct&show=1.csv
