Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_E0240,GFP generator,876,1,iGEM Heidelberg 2014:4;Antiquity:0,Released HQ 2013,BBa_K299012;BBa_J72046,In stock,Works,256 Uses,Antiquity,Jennifer Braff,2004-10-18,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_E0430,EYFP (RBS+ LVA- TERM) (B0034.E0030.B0015),878,1,Antiquity:5,Released HQ 2013,BBa_K594012,In stock,Works,200 Uses,Antiquity,Caitlin Conboy,2004-03-15,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_E0840,GFP generator,878,1,iGEM Dundee 2016:5;UFAM_Brazil 2014:5;Smelissali:4;Reshma Shetty:5;Aberdeen_Scotland 2009:5,Released HQ 2013,BBa_I751310;BBa_S04013;BBa_K299010;BBa_K1031921,In stock,Works,165 Uses,Antiquity,Jennifer Braff,2004-10-18,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_E0420,ECFP (RBS+ LVA- TERM) (B0034.E0020.B0015),878,1,,Released HQ 2013,BBa_J14453;BBa_S04355,In stock,,82 Uses,Antiquity,Caitlin Conboy,2004-03-15,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_E0422,ECFP (RBS+ LVA+ TERM) (B0034.E0022.B0015),917,1,,Released HQ 2013,BBa_J24703;BBa_I739009;BBa_K411225,In stock,,101 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-04,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_E0432,EYFP (RBS+ LVA+ TERM) (B0034.E0032.B0015),917,,Antiquity:3,Released HQ 2013,BBa_J24704;BBa_I739005;BBa_K411226,In stock,Issues,99 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-04,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_I13001,RBS B0030 w/ YFP (-LVA) TT,881,1,,Released HQ 2013,,In stock,None,3 Uses,Antiquity,"Jay Blumling, Debra Lin, Madeleine Sheldon-dante, Fred Tan,  MIT SMUG",2004-06-28,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_I13002,RBS B0031 w/ YFP (-LVA) TT,880,1,Antiquity:0,Released HQ 2013,,In stock,None,1 Uses,Antiquity,"Jay Blumling, Debra Lin, Madeleine Sheldon-dante, Fred Tan,  MIT SMUG",2004-06-28,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_I13003,"medium RBS, YFP (-LVA), double terminator",879,1,Antiquity:0,Released HQ 2013,,In stock,None,2 Uses,Antiquity,"Jay Blumling, Debra Lin, Madeleine Sheldon-dante, Fred Tan,  MIT SMUG",2004-06-28,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_I13504,Screening plasmid intermediate,875,1,,Released HQ 2013,BBa_K299014;BBa_S05212,In stock,None,170 Uses,MIT,jkm,2005-05-31,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_I732015,GFPmut3b (RBS+ AAV+ TERM+),914,,,Not Released,BBa_S03553;BBa_J09142;BBa_S03890;BBa_K1087012,In stock,None,1 Uses,iGEM07_USTC,Zhan Jian,2007-07-09,,pgroup=Reporter_RET&show=1.csv
BBa_J06702,"mCherry, bacterial with RBS and forward terminator",869,1,,Released HQ 2013,BBa_K1668011,In stock,,70 Uses,iGEM2005,Yves Wang,2005-07-25,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_J09142,"GFP-AAV device, strong RBS",914,,,Not Released,BBa_S03553;BBa_I732015;BBa_S03890;BBa_K1087012,In stock,,2 Uses,iGEM2005,Jon Badalamenti,2006-10-26,,pgroup=Reporter_RET&show=1.csv
BBa_E0244,B0032.E0044.B0015,915,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,jcbraff,2004-10-26,,pgroup=Reporter_RET&show=1.csv
BBa_E0424,B0034.E0024.B0015,917,,Antiquity:0,Not Released,BBa_S03892,Not in stock,None,5 Uses,Antiquity,jcbraff,2004-07-16,,pgroup=Reporter_RET&show=1.csv
BBa_E0426,B0034.E0026.B0015,917,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,jcbraff,2004-07-16,,pgroup=Reporter_RET&show=1.csv
BBa_E0434,B0034.E0034.B0015,917,,Antiquity:0,Not Released,BBa_J09035,It's complicated,None,24 Uses,Antiquity,jcbraff,2004-07-16,,pgroup=Reporter_RET&show=1.csv
BBa_E0436,B0034.E0036.B0015,917,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,jcbraff,2004-07-16,,pgroup=Reporter_RET&show=1.csv
BBa_E0844,B0030.E0044.B0015,917,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,jcbraff,2004-10-26,,pgroup=Reporter_RET&show=1.csv
BBa_I13004,RBS B0033 w/ YFP (-LVA) TT,877,,Antiquity:0,Not Released,,It's complicated,None,Not Used,Antiquity,"Jay Blumling, Debra Lin, Madeleine Sheldon-dante, Fred Tan,  MIT SMUG",2004-06-28,,pgroup=Reporter_RET&show=1.csv
BBa_J06700,Venus YFP with RBS and forward terminator,933,,Antiquity:0,Not Released,,Not in stock,Fails,6 Uses,iGEM2005,ytwang,2005-06-14,,pgroup=Reporter_RET&show=1.csv
BBa_J06701,mCherry with RBS and forward terminator,924,,Antiquity:0,Not Released,,It's complicated,Fails,20 Uses,iGEM2005,ytwang,2005-06-14,Spring 2017 Distribution;Spring 2016 Distribution,pgroup=Reporter_RET&show=1.csv
BBa_J06703,"mCherry, bacterial (LVA+) with RBS and forward terminator",878,,,Not Released,BBa_S03540;BBa_J24702;BBa_K648000,It's complicated,,3 Uses,iGEM2005,Yves Wang,2005-07-25,,pgroup=Reporter_RET&show=1.csv
BBa_J07037,Threshold: Reporter module (regulated by cI),912,,,Not Released,,It's complicated,,Not Used,iGEM2005,Yaser (Ray) Khan,2005-07-22,,pgroup=Reporter_RET&show=1.csv
BBa_J09034,EYFP AAV+ device with strong RBS,920,,,Not Released,,Not in stock,,Not Used,iGEM2005,Jon Badalamenti,2006-10-27,,pgroup=Reporter_RET&show=1.csv
BBa_J09035,"EYFP (AAV+) device, strong RBS",917,,,Not Released,BBa_E0434,It's complicated,,Not Used,iGEM2005,Jon Badalamenti,2006-10-27,,pgroup=Reporter_RET&show=1.csv
BBa_J09122,"ECFP+LVA, medium RBS",919,,,Not Released,,Not in stock,None,Not Used,iGEM2005,Jon Badalamenti,2006-10-26,,pgroup=Reporter_RET&show=1.csv
BBa_J09123,"ECFP-LVA device, strong RBS",920,,,Not Released,,Not in stock,None,Not Used,iGEM2005,Jon Badalamenti,2006-10-26,,pgroup=Reporter_RET&show=1.csv
BBa_J09144,"GFP-AAV device, medium RBS",916,,,Not Released,,Not in stock,,3 Uses,iGEM2005,Jon Badalamenti,2006-10-26,,pgroup=Reporter_RET&show=1.csv
