Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I13520,Pbad mRFP,2079,,Antiquity:5,Released HQ 2013,BBa_J01119;BBa_J5527;BBa_K339014,In stock,Works,Not Used,MIT,jkm,2005-06-14,,pgroup=Composite&show=1.csv
BBa_I712006,CMV + Myc + CCR5-NUb,1890,1,,Not Released,,In stock,Works,Not Used,iGEM07_Ljubljana,Andrej Ondracka,2007-10-22,,pgroup=Composite&show=1.csv
BBa_I712036,CMVp - CD4 - CUb - T7 RNAP - NLS,4854,1,,Not Released,,In stock,Works,Not Used,iGEM07_Ljubljana,Katja Kolar,2007-10-24,,pgroup=Composite&show=1.csv
BBa_I712041,CMVp - CD4 - HIV protease cleavage site - mCherryNLS,2823,,,Not Released,,In stock,Works,Not Used,iGEM07_Ljubljana,Katja Kolar,2007-10-23,,pgroup=Composite&show=1.csv
BBa_I712043,CMVp - myristoilation site - HIV protease cleavage site - T7RNAP - NLS,3410,,,Not Released,,In stock,Works,Not Used,iGEM07_Ljubljana,Katja Kolar,2007-10-23,,pgroup=Composite&show=1.csv
BBa_I712044,CMVp - myristoilation site - HIV protease cleavage site - mCherry - NLS,1470,,,Not Released,,In stock,Works,Not Used,iGEM07_Ljubljana,Katja Kolar,2007-10-24,,pgroup=Composite&show=1.csv
BBa_I712050,CMV promoter - RBS - T7 RNA polymerase - NLS,3340,,,Not Released,,In stock,Works,Not Used,iGEM07_Ljubljana,Sasa Jereb,2007-10-23,,pgroup=Composite&show=1.csv
BBa_I712058,CMVp - myri - TEVP - GFP,1443,,,Released HQ 2013,,In stock,Works,Experience: Works,iGEM07_Ljubljana,Katja Kolar,2007-10-24,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Composite&show=1.csv
BBa_I712059,CMVp - myri - TEVP - T7 RNAP - NLS,3396,1,,Not Released,,In stock,Works,Not Used,iGEM07_Ljubljana,Katja Kolar,2007-10-24,,pgroup=Composite&show=1.csv
BBa_I712086,CMV - CD4(shortened) - Cub - CherryNLS,2646,,,Not Released,,In stock,Works,Not Used,iGEM07_Ljubljana,Marko Bitenc,2007-10-23,,pgroup=Composite&show=1.csv
BBa_I712087,CMV - CD4(shortened) - Cub - T7polNLS,4727,,,Not Released,,In stock,Works,Not Used,iGEM07_Ljubljana,Marko Bitenc,2007-10-23,,pgroup=Composite&show=1.csv
BBa_I712088,CMV - CD4(shortened) - Cub - GFP,2774,,,Released HQ 2013,,In stock,Works,Experience: Works,iGEM07_Ljubljana,Marko Bitenc,2007-10-23,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Composite&show=1.csv
BBa_I712669,CMV - mCer,1380,,,Released HQ 2013,BBa_J52648,In stock,Works,Experience: Works,iGEM07_Ljubljana,Rok Gaber,2007-10-24,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Composite&show=1.csv
BBa_I714062,[E0040][B0015] ([GFP][Double Terminator]),857,,,Released HQ 2013,BBa_I13401;BBa_J04630;BBa_E1040;BBa_K175018;BBa_S04233;BBa_S04263;BBa_K653001;BBa_K944008;BBa_K1088050,In stock,Works,Not Used,iGEM07_Peking,Mingzhi Qu,2007-10-22,,pgroup=Composite&show=1.csv
BBa_I714071,[R0040][J01010] ([pTet][Lock1]),102,,,Released HQ 2013,BBa_J01060,In stock,Works,Not Used,iGEM07_Peking,Mingzhi Qu,2007-10-21,,pgroup=Composite&show=1.csv
BBa_I714075,[J01008][B0015] ([Key1][Double Terminator]),231,,,Released HQ 2013,BBa_K1379021,In stock,Works,9 Uses,iGEM07_Peking,Mingzhi Qu,2007-10-22,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Composite&show=1.csv
BBa_I730002,pLacI-tetR repressor ,766,,,Not Released,,In stock,Works,2 Uses,iGEM07_Valencia,Arnau Montagud Aquino,2007-08-20,,pgroup=Composite&show=1.csv
BBa_I744204,Tc sensor and cl lambda generator (Tet promoter) ,2816,,,Released HQ 2013,,In stock,Works,Not Used,iGEM07_Rice,Thomas Segall-Shapiro,2007-07-18,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Composite&show=1.csv
BBa_I746370,P2 ogr inducing PF promoter,3306,,Bielefeld-Germany-2010:5,Released HQ 2013,,In stock,Works,Not Used,iGEM07_Cambridge,Stefan Milde,2007-09-26,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Composite&show=1.csv
BBa_I746371,P2 ogr inducing PO promoter,3307,,,Released HQ 2013,,In stock,Works,Not Used,iGEM07_Cambridge,Stefan Milde,2007-09-26,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Composite&show=1.csv
BBa_I746372,P2 ogr inducing PP promoter,3307,,,Released HQ 2013,,In stock,Works,Not Used,iGEM07_Cambridge,Stefan Milde,2007-09-26,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Composite&show=1.csv
