Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I13513,Screening Plasmid 2,2885,,Antiquity:5,Released HQ 2013,,In stock,Works,Not Used,MIT,jkm,2005-05-31,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Measurement&show=1.csv
BBa_I13515,Screening Plasmid 4,2825,,Antiquity:5,Released HQ 2013,,In stock,Works,Not Used,MIT,jkm,2005-05-31,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Measurement&show=1.csv
BBa_I732902,R0010 I732020,597,,,Released HQ 2013,,In stock,Works,Not Used,iGEM07_USTC,Zhan Jian,2007-10-17,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Measurement&show=1.csv
BBa_I732903,R0011 I732020,452,,,Released HQ 2013,,In stock,Works,Not Used,iGEM07_USTC,Zhan Jian,2007-10-17,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Measurement&show=1.csv
BBa_I732913,[aTC] -> RFP,1757,,,Released HQ 2013,,In stock,Works,Not Used,iGEM07_USTC,Ma Rui,2007-10-17,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Measurement&show=1.csv
BBa_I732916,P_NOR_U037O11D002O22 + RFP,954,,,Not Released,,In stock,Works,1 Uses,iGEM07_USTC,Ma Rui,2007-10-17,,pgroup=Measurement&show=1.csv
BBa_J107011,PlacIQ measurement system,921,,,Released HQ 2013,BBa_J09250,In stock,Works,Not Used,Magni_UNIPV_Lab,Lorenzo Pasotti,2010-06-01,,pgroup=Measurement&show=1.csv
BBa_J107028,J23100 measurement system (with RFP),904,,,Not Released,BBa_K206093;BBa_K1375003,In stock,Works,Not Used,Magni_UNIPV_Lab,Lorenzo Pasotti,2012-10-13,,pgroup=Measurement&show=1.csv
BBa_K1104241,TrxC promoter +E0840,986,,,Not Released,,In stock,Works,Not Used,iGEM13_NYMU-Taipei,Ting-Yun Chiang,2013-09-11,,pgroup=Measurement&show=1.csv
BBa_K1104245,AhpC2-E0840,1112,,,Not Released,,In stock,Works,Not Used,iGEM13_NYMU-Taipei,Ting-Yun Chiang,2013-09-17,,pgroup=Measurement&show=1.csv
