Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I712015,HIV-1 protease cleavage site,42,1,Yunxiao:4,Not Released,,In stock,Works,13 Uses,iGEM07_Ljubljana,Katja Kolar,2007-10-21,,Tag.csv
BBa_I712016,myristoilation signal sequence fused to Tobacco Etch Virus (TEV) protease cleavage site,57,1,,Not Released,,In stock,Works,5 Uses,iGEM07_Ljubljana,Katja Kolar,2007-10-23,,Tag.csv
BBa_I712026,myristoilation signal sequence; anchors protein to membrane,21,1,,Not Released,,In stock,Works,8 Uses,iGEM07_Ljubljana,Katja Kolar,2007-10-23,,Tag.csv
BBa_J176008,NLS,21,,,Released HQ 2013,BBa_J63008,In stock,Works,Experience: Works,Haynes_Lab,Karmella Haynes,2011-09-29,,Tag.csv
BBa_J63008,SV40 nuclear localization sequence from SV40; yeast codon optimized,21,1,,Released HQ 2013,BBa_J176008,In stock,Works,1 Registry Star,Silver Lab,Caroline Ajo-Franklin,2006-10-11,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Tag.csv
BBa_K103006,OmpA outer membrane protein A fused to linker; displays proteins on cell surface,464,1,,Not Released,BBa_K877001;BBa_K1489002,In stock,Works,24 Uses,iGEM08_Warsaw,Michael Lower,2008-09-14,,Tag.csv
BBa_K823034,3x FLAG tag (Freiburg standard+RBS),66,,,Not Released,,In stock,Works,Not Used,iGEM12_LMU-Munich,Jara Radeck,2012-09-07,,Tag.csv
BBa_K823035,HA-tag (Freiburg standard+RBS),27,,,Not Released,,In stock,Works,Not Used,iGEM12_LMU-Munich,Jara Radeck,2012-09-07,,Tag.csv
BBa_K823036,cMyc-tag (Freiburg standard+RBS),30,,,Not Released,,In stock,Works,Not Used,iGEM12_LMU-Munich,Jara Radeck,2012-09-07,,Tag.csv
BBa_K823037,10x His-tag (Freiburg standard+RBS),30,,,Not Released,,In stock,Works,Not Used,iGEM12_LMU-Munich,Jara Radeck,2012-09-08,,Tag.csv
BBa_K844000,10x-Histidine (10x-His) Tag with double stop codon (TAATAA),36,,2012 Utah_State iGEM Team:5,Released HQ 2013,,In stock,Works,Experience: Works,iGEM12_Utah_State,Kathleen Miller,2012-10-02,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Tag.csv
BBa_I712009,CD4 signal peptide; localizes to plasma membrane,75,1,,Not Released,,In stock,None,16 Uses,iGEM07_Ljubljana,Peter Cimermancic,2007-10-22,,Tag.csv
BBa_J32015,PelB leader sequence; directs protein to E. coli periplasmic membrane,66,1,,Released HQ 2013,BBa_K112228;BBa_K208004;BBa_K1149023;BBa_K2013000,In stock,None,1 Registry Star,iGEM2006_Duke,Austen Heinz,2006-08-25,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Tag.csv
BBa_K1028000,Silica binding peptide,51,,,Not Released,,In stock,None,1 Uses,iGEM13_Leeds,"Oleg Karpov, Joseph Beton",2013-08-30,,Tag.csv
BBa_K105012,10 aa flexible protein domain linker ,30,1,UNIPV-Pavia:3,Not Released,BBa_K648006,In stock,None,26 Uses,iGEM08_ESBS-Strasbourg,"Manuel Gersbacher, Katja Karstens",2008-10-19,,Tag.csv
BBa_K105013,cin8 - cell cycle specific degradation tag in yeast,228,1,,Not Released,,In stock,None,Not Used,iGEM08_ESBS-Strasbourg,Robin Sorg,2008-10-19,,Tag.csv
BBa_K1125001,Tandem Affinity Purification (TAP) tag,555,,,Not Released,,In stock,,Not Used,iGEM13_NTU_Taiwan,"Tsung-Yu, Lu",2013-09-16,,Tag.csv
BBa_K1149023,pelB2,66,,,Not Released,BBa_J32015;BBa_K112228;BBa_K208004;BBa_K2013000,In stock,None,Experience: None,iGEM13_Imperial_College,Margarita Kopniczky,2013-09-13,,Tag.csv
BBa_K1150016,HA tag,27,,,Not Released,,In stock,None,26 Uses,iGEM13_Freiburg,Freiburg 2013,2013-09-16,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Tag.csv
BBa_K1188001,Freiburg amilCP Color Tag,678,,,Not Released,,In stock,None,Experience: None,iGEM13_CU-Boulder,"Phil Jensen, Bill Heymann",2013-08-23,,Tag.csv
BBa_K1188002,RTX - Calcium Binding Protein,231,,,Not Released,,In stock,None,Experience: None,iGEM13_CU-Boulder,Jean-Francois Lalonde,2013-08-23,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Tag.csv
BBa_K1189010,Kcoil,63,,,Not Released,BBa_K1189027,In stock,None,Experience: None,iGEM13_Calgary,Somshukla Chaudhuri,2013-09-17,,Tag.csv
BBa_K1189011,E coil,63,,,Not Released,,In stock,None,Experience: None,iGEM13_Calgary,Somshukla Chaudhuri,2013-09-17,,Tag.csv
BBa_K1189027,K coil,63,,,Not Released,BBa_K1189010,In stock,None,Experience: None,iGEM13_Calgary,Somshukla Chaudhuri,2013-09-17,,Tag.csv
BBa_K125300,pilA1 signal sequence from cyanobacterium Synechocystis; secretes protein,62,1,,Not Released,,In stock,None,Not Used,iGEM08_Hawaii,Krystle Salazar and Grace Kwan,2008-07-25,,Tag.csv
BBa_K125310,slr2016 signal sequence from cyanobacterium Synechocystis; secretes protein,53,,,Not Released,,In stock,None,4 Uses,iGEM08_Hawaii,Krystle Salazar and Grace Kwan,2008-07-25,,Tag.csv
BBa_K128000,FLAG affinity tag,25,1,,Not Released,,In stock,None,Not Used,iGEM08_MIT,Sara Mouradian,2008-07-10,,Tag.csv
BBa_K128001,HA affinity tag,27,1,,Not Released,,In stock,None,Not Used,iGEM08_MIT,Sara Mouradian,2008-07-10,,Tag.csv
BBa_K128002,TEV tobacco etch virus protease cleavage site,21,1,,Not Released,BBa_K1362453,In stock,None,Not Used,iGEM08_MIT,Sara Mouradian,2008-07-10,,Tag.csv
BBa_K133035,Methionine-His affinity tag ,21,1,,Not Released,,In stock,None,3 Uses,iGEM08_Slovenia,Jerneja Mori,2008-10-26,,Tag.csv
BBa_K1362057,NLS as RFC[105] N-terminal insert,60,,,Not Released,,In stock,None,Not Used,iGEM14_Heidelberg,"Constantin Ahlmann-Eltze, Charlotte Bunne, Magdalena Büscher, Jan Gleixner, Max Horn, Anna Huhn, Nils Klughammer, Jakob Kreft, Elisabeth Schäfer, Carolin Schmelas, Silvan Schmitz, Max Waldha",2014-10-08,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution,Tag.csv
BBa_K1362058,PelB leading sequence as RFC[105] N-terminal insert,102,,,Not Released,,In stock,None,Not Used,iGEM14_Heidelberg,"Constantin Ahlmann-Eltze, Charlotte Bunne, Magdalena Büscher, Jan Gleixner, Max Horn, Anna Huhn, Nils Klughammer, Jakob Kreft, Elisabeth Schäfer, Carolin Schmelas, Silvan Schmitz, Max Waldha",2014-10-08,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution,Tag.csv
BBa_K1362059,PKI-NES as RFC[105] N-terminal insert,69,,,Not Released,,In stock,None,Not Used,iGEM14_Heidelberg,"Constantin Ahlmann-Eltze, Charlotte Bunne, Magdalena Büscher, Jan Gleixner, Max Horn, Anna Huhn, Nils Klughammer, Jakob Kreft, Elisabeth Schäfer, Carolin Schmelas, Silvan Schmitz, Max Waldha",2014-10-08,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution,Tag.csv
BBa_K1371016,Docking domain 1 pre,157,,,Not Released,,In stock,None,Not Used,iGEM14_SCUT-China,Qifeng Tan,2014-10-07,,Tag.csv
BBa_K1371018,Docking domain 2 pre,166,,,Not Released,,In stock,None,Not Used,iGEM14_SCUT-China,Qifeng Tan,2014-10-07,,Tag.csv
BBa_K1371020,Docking domain 3 pre,163,,,Not Released,,In stock,None,Not Used,iGEM14_SCUT-China,Qifeng Tan,2014-10-07,,Tag.csv
BBa_K1371021,Docking domain 3 suf,108,,,Not Released,,In stock,None,Not Used,iGEM14_SCUT-China,Qifeng Tan,2014-10-07,,Tag.csv
BBa_K1371023,Docking domain 4 suf,117,,,Not Released,,In stock,None,Not Used,iGEM14_SCUT-China,Qifeng Tan,2014-10-07,,Tag.csv
BBa_K1371024,Docking domain 5 pre,160,,,Not Released,,In stock,None,Not Used,iGEM14_SCUT-China,Qifeng Tan,2014-10-07,,Tag.csv
BBa_K1371025,Docking domain 5 suf,111,,,Not Released,,In stock,None,Not Used,iGEM14_SCUT-China,Qifeng Tan,2014-10-07,,Tag.csv
BBa_K1371026,Docking domain 6 pre,181,,,Not Released,,In stock,None,Not Used,iGEM14_SCUT-China,Qifeng Tan,2014-10-07,,Tag.csv
BBa_K1371027,Docking domain 6 suf,96,,,Not Released,,In stock,None,Not Used,iGEM14_SCUT-China,Qifeng Tan,2014-10-07,,Tag.csv
BBa_K1381018,B0034-USP45-(GS)x5,138,,,Not Released,,In stock,None,1 Uses,iGEM14_Uppsala,"Alexander Wirtanen, Niklas Handin, Marcus Hong and Jonas Mattisson",2014-10-03,,Tag.csv
BBa_K1447007,HIS-TEV,32,,,Not Released,BBa_K525998,In stock,None,Not Used,iGEM14_Linkoping_Sweden,"Sofie Cassman Eklöf, Patricia Gullberg",2014-10-07,,Tag.csv
BBa_K1465230,T7-RBS Intein-tag,815,,,Not Released,,In stock,None,Not Used,iGEM14_Bielefeld-CeBiTec,iGEM-Team Bielefeld 2014,2014-10-06,,Tag.csv
BBa_K208004,PelB Signal Peptide - Silver Fusion Compatible,66,,,Released HQ 2013,BBa_J32015;BBa_K112228;BBa_K1149023;BBa_K2013000,In stock,None,Experience: None,iGEM09_Utah_State,USU iGEM 2009,2009-10-12,,Tag.csv
BBa_K208006,HlyA Signal Peptide - Silver Fusion Compatible,186,,,Released HQ 2013,BBa_K554002,In stock,None,Experience: None,iGEM09_Utah_State,USU iGEM 2009,2009-10-12,,Tag.csv
BBa_K331008,Outer Membrane Protein OmpA,63,,,Not Released,,In stock,None,1 Uses,iGEM10_Lethbridge,Lisza Bruder,2010-06-28,,Tag.csv
BBa_K823038,Strep-tag (Freiburg standard+RBS),24,,,Not Released,,In stock,Issues,Not Used,iGEM12_LMU-Munich,Jara Radeck,2012-09-08,,Tag.csv
BBa_K880004,LVA Tag in RFC25,39,,,Not Released,,In stock,None,Not Used,iGEM12_Michigan,"Josh Atkinson, Mike Ferguson, and Ben Parker",2012-09-29,,Tag.csv
BBa_I11012,AAV degradation tag,33,,Antiquity:0;Edinburgh IGEM 2014:4,Not Released,BBa_M0044,Not in stock,None,Not Used,Antiquity,BU,2004-09-03,,Tag.csv
BBa_I712007,c-Myc affinity tag,30,,,Not Released,,It's complicated,Works,4 Uses,iGEM07_Ljubljana,Anja Koren&#269;i&#269;,2007-10-20,,Tag.csv
BBa_I712008,HA affinity tag,30,,,Not Released,,It's complicated,Works,9 Uses,iGEM07_Ljubljana,Anja Koren&#269;i&#269;,2007-10-20,,Tag.csv
BBa_I757013,His affinity tag,36,,,Not Released,,Not in stock,None,Not Used,iGEM07_Freiburg,Freiburg iGEM 2007 team,2007-10-24,,Tag.csv
BBa_J133550,Protein Linker SSGSSG Library,18,,,Not Released,BBa_K125550,Not in stock,,Not Used,Presting,Norman Wang,2011-12-03,,Tag.csv
BBa_J133551,Protein Linker SSGSSG Library,18,,,Not Released,,Not in stock,,Not Used,Presting,Norman Wang,2011-12-03,,Tag.csv
BBa_J133552,Protein Linker SSGSSG Library,18,,,Not Released,,Not in stock,,Not Used,Presting,Norman Wang,2011-12-03,,Tag.csv
BBa_J133553,Protein Linker SSGSSG Library,18,,,Not Released,,Not in stock,,Not Used,Presting,Norman Wang,2011-12-03,,Tag.csv
BBa_J133554,Protein Linker SSGSSG Library,18,,,Not Released,,Not in stock,,Not Used,Presting,Norman Wang,2011-12-03,,Tag.csv
BBa_J133555,Protein Linker SSGSSG Library,18,,,Not Released,,Not in stock,,Not Used,Presting,Norman Wang,2011-12-03,,Tag.csv
BBa_J133556,Protein Linker SSGSSG Library,18,,,Not Released,,Not in stock,,Not Used,Presting,Norman Wang,2011-12-03,,Tag.csv
BBa_J133557,Protein Linker SSGSSG Library,18,,,Not Released,,Not in stock,,Not Used,Presting,Norman Wang,2011-12-03,,Tag.csv
BBa_J133558,Protein Linker SSGSSG Library,18,,,Not Released,,Not in stock,,Not Used,Presting,Norman Wang,2011-12-03,,Tag.csv
