Team ID , Team  , Region , Country , Track , Section , Size , Status , Year,Wiki,Medal,Award,Name,Parts
2020,Aachen,Europe,Germany,New Application,Overgrad,22,Accepted,2016,http://2016.igem.org/Team:Aachen,gold medal,Nominated for Best Hardware- Overgrad;Nominated for Best New Application Project- Overgrad,LIPs - Light Inducible Proteases,BBa_K2020000;BBa_K2020001;BBa_K2020002;BBa_K2020003;BBa_K2020004;BBa_K2020005;BBa_K2020006;BBa_K2020023;BBa_K2020026;BBa_K2020040;BBa_K2020043;BBa_K2020045;BBa_K2020046;BBa_K2020050;BBa_K2020051;BBa_K2020052;BBa_K2020053;BBa_K2020054;BBa_K2020055;BBa_K2020056;BBa_K2020057;BBa_K2020058;BBa_K2020059;BBa_K2020060;BBa_K2020061
1907,Aalto-Helsinki,Europe,Finland,Environment,Overgrad,13,Accepted,2016,http://2016.igem.org/Team:Aalto-Helsinki,gold medal,,MC Yeast: Stress-Based Detection and Enzymatic Degradation of the Cyanobacterial Toxin Microcystin,BBa_K1907000;BBa_K1907001;BBa_K1907002;BBa_K1907003;BBa_K1907004;BBa_K1907005;BBa_K1907006;BBa_K1907007;BBa_K1907008;BBa_K1907009
2044,AHUT_China,Asia,China,Information Processing,Overgrad,32,Accepted,2016,http://2016.igem.org/Team:AHUT_China,bronze medal,,BIO-COMPASS 2.0,BBa_K2044000;BBa_K2044001;BBa_K2044002;BBa_K2044003;BBa_K2044004;BBa_K2044005;BBa_K2044006;BBa_K2044007;BBa_K2044008;BBa_K2044009;BBa_K2044010;BBa_K2044011;BBa_K2044012;BBa_K2044013;BBa_K2044014;BBa_K2044015;BBa_K2044016;BBa_K2044017;BBa_K2044018;BBa_K2044019;BBa_K2044020;BBa_K2044021;BBa_K2044022
1917,Ain_Shams-Egypt,Africa,Egypt,Therapeutics,Undergrad,21,Accepted,2016,http://2016.igem.org/Team:Ain_Shams-Egypt,bronze medal,,CircRNA deregulation and HCC,BBa_K2188000;BBa_K2188001;BBa_K2188002;BBa_K2188003;BBa_K2188004;BBa_K2188081;BBa_K2188085;BBa_K2188090;BBa_K2188095
1951,Aix-Marseille,Europe,France,Environment,Overgrad,19,Accepted,2016,http://2016.igem.org/Team:Aix-Marseille,gold medal,,Highway To Platinum,BBa_K1951000;BBa_K1951001;BBa_K1951002;BBa_K1951003;BBa_K1951004;BBa_K1951005;BBa_K1951006;BBa_K1951007;BBa_K1951008;BBa_K1951009;BBa_K1951010;BBa_K1951011
2145,Alverno_CA,North America,United States,High School,High_school,17,Accepted,2016,http://2016.igem.org/Team:Alverno_CA,silver medal,,Strategies for blocking propagation of supercoiling generated during transcription,BBa_K2145000;BBa_K2145001;BBa_K2145100;BBa_K2145101;BBa_K2145102;BBa_K2145103;BBa_K2145104;BBa_K2145105;BBa_K2145107;BBa_K2145124;BBa_K2145126;BBa_K2145127
2033,Arizona_State,North America,United States,Foundational Advance,Overgrad,14,Accepted,2016,http://2016.igem.org/Team:Arizona_State,gold medal,Best New Basic Part- Overgrad;Best Part Collection- Overgrad;Nominated for Best Foundational Advance Project- Overgrad;Nominated for Best Integrated Human Practices- Overgrad;Nominated for Best New Basic Part- Overgrad;Nominated for Best Part Collection- Overgrad,Ringtones: Diverse homoserine lactone systems for cellular communication,BBa_K2033000;BBa_K2033001;BBa_K2033002;BBa_K2033003;BBa_K2033004;BBa_K2033006;BBa_K2033008;BBa_K2033010;BBa_K2033011;BBa_K2033012;BBa_K2033014
1885,ASIJ_Tokyo,Asia,Japan,High School,High_school,19,Accepted,2016,http://2016.igem.org/Team:ASIJ_Tokyo,bronze medal,,Fast Pace PETase,BBa_K1885007;BBa_K1885120;BBa_K1885123;BBa_K1885456;BBa_K1885987
2058,ATOMS_Turkiye,Europe,Turkey,,Undergrad,31,Withdrawn,2016,http://2016.igem.org/Team:ATOMS_Turkiye,gold medal,Nominated for Best Applied Design- Overgrad;Nominated for Best Environment Project- Overgrad;Nominated for Best Poster- Overgrad,-- Not provided yet --,
2059,AUC_TURKEY,Europe,Turkey,High School,High_school,12,Withdrawn,2016,http://2016.igem.org/Team:AUC_TURKEY,gold medal,Nominated for Best Applied Design- Overgrad;Nominated for Best Environment Project- Overgrad;Nominated for Best Poster- Overgrad,-- Not provided yet --,
