Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I732951,P_template1 + lacZ alpha,389,,,Released HQ 2013,BBa_I732020,In stock,Works,Not Used,iGEM07_USTC,Zhan Jian,2007-10-26,,pgroup=Plasmid_Other&show=1.csv
BBa_K1199003,"LinA     gamma-HCH-> 1,3,4,6-tetrachloro-1,4-cyclohexadiene ",471,,,Not Released,BBa_K1199004;BBa_K1199011;BBa_K1199038;BBa_K1199041,In stock,None,Experience: None,iGEM13_UESTC_Life,Tian Wang,2013-09-10,,pgroup=Plasmid_Other&show=1.csv
BBa_K1199004,"LinA   lindane (-yhexachlorocyclohexane) ->  1,3,4,6-tetrachloro-1,4-cyclohexadiene",471,,,Not Released,BBa_K1199003;BBa_K1199011;BBa_K1199038;BBa_K1199041,In stock,None,Experience: None,iGEM13_UESTC_Life,Tian Wang,2013-09-10,,pgroup=Plasmid_Other&show=1.csv
BBa_K1199005,"LinB   1,3,4,6-tetrachloro-1,4-cyclohexadiene->2,5-dichloro-2,5-cyclohexadiene-1,4-diol",891,,,Not Released,BBa_K1199012;BBa_K1199042,In stock,None,Not Used,iGEM13_UESTC_Life,Tian Wang,2013-09-10,,pgroup=Plasmid_Other&show=1.csv
BBa_K1199007,"HheC     2,3-DCP->Glycerol",765,,,Not Released,BBa_K1199014;BBa_K1199044,In stock,None,Experience: None,iGEM13_UESTC_Life,Tian Wang,2013-09-11,,pgroup=Plasmid_Other&show=1.csv
BBa_K1441012,DNA ligase from Escherichia coli  with His-tag In pGAPz alpha A,2064,,,Not Released,BBa_K525710;BBa_K1441013,In stock,None,Not Used,iGEM14_Georgia_State,Derrica Burke,2014-10-10,,pgroup=Plasmid_Other&show=1.csv
BBa_I11003,pZS4Int-1 plasmid,6000,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,Lutz and Bujard,2004-08-18,,pgroup=Plasmid_Other&show=1.csv
BBa_I11004,pZA3PLtet-0luc,3665,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,Lutz and Bujard,2004-08-18,,pgroup=Plasmid_Other&show=1.csv
BBa_I11005,pZE1PA1lacO plasmid,3901,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,Lutz and Bujard,2004-08-18,,pgroup=Plasmid_Other&show=1.csv
BBa_I11006,pZE1PLlacO-1 plasmid,3891,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,Lutz and Bujard,2004-08-18,,pgroup=Plasmid_Other&show=1.csv
BBa_I11007,pZE2 PLtetO-1 plasmid--MCS2,2217,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,Lutz and Bujard,2004-08-18,,pgroup=Plasmid_Other&show=1.csv
BBa_I11008,pUHS*2Plac/ara-1 plasmid (MCS 1),4004,,Antiquity:0,Not Released,,Not in stock,None,Not Used,Antiquity,Lutz and Bujard,2004-08-18,,pgroup=Plasmid_Other&show=1.csv
BBa_I50010,oriV origin,627,,,Not Released,,Not in stock,,Not Used,,Reshma Shetty,2005-12-03,,pgroup=Plasmid_Other&show=1.csv
BBa_I50020,Minimal pUC19-derived high copy replication origin,674,,RS:0,Not Released,,Not in stock,Fails,4 Uses,,Reshma Shetty,2006-01-09,,pgroup=Plasmid_Other&show=1.csv
BBa_I51000,"BioBrick base vector, as originally designed",2446,,RS:0,Not Released,,Not in stock,Fails,Not Used,,Reshma Shetty,2006-03-13,,pgroup=Plasmid_Other&show=1.csv
BBa_I53322,p15A.Amp,2505,,,Not Released,,Not in stock,,Not Used,,Reshma Shetty,2008-05-06,,pgroup=Plasmid_Other&show=1.csv
BBa_I53323,p15A.Kan,2529,,,Not Released,,Not in stock,,Not Used,,Reshma Shetty,2008-05-06,,pgroup=Plasmid_Other&show=1.csv
BBa_I53324,p15A.Cm,2331,,,Not Released,,Not in stock,,Not Used,,Reshma Shetty,2008-05-06,,pgroup=Plasmid_Other&show=1.csv
BBa_I53325,p15A.Tet,2845,,,Not Released,,Not in stock,,Not Used,,Reshma Shetty,2008-05-06,,pgroup=Plasmid_Other&show=1.csv
BBa_I53422,pSC101.Amp,2988,,,Not Released,,Not in stock,,Not Used,,Reshma Shetty,2008-05-06,,pgroup=Plasmid_Other&show=1.csv
BBa_I53423,pSC101.Kan,3012,,,Not Released,,Not in stock,,Not Used,,Reshma Shetty,2008-05-06,,pgroup=Plasmid_Other&show=1.csv
BBa_I53424,pSC101.Cm,2814,,,Not Released,,Not in stock,,Not Used,,Reshma Shetty,2008-05-06,,pgroup=Plasmid_Other&show=1.csv
BBa_I53425,pSC101.Tet,3328,,,Not Released,,Not in stock,,Not Used,,Reshma Shetty,2008-05-06,,pgroup=Plasmid_Other&show=1.csv
