Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I14044,weak RBS . LacI,1173,,Antiquity:0,Released HQ 2013,BBa_S0112;BBa_J09340;BBa_J24683,In stock,None,Not Used,Antiquity,"Aditi Shrivastava, Jiwon Lee, Sarah Welch",2004-08-04,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Transcriptional regulation.csv
BBa_I732081,Tet repressor (RBS+ LVA- TERM-),645,,,Released HQ 2013,,In stock,Works,2 Uses,iGEM07_USTC,Zhan Jian,2007-08-03,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Transcriptional regulation.csv
BBa_I746350,ogr activator from P2 phage,237,1,,Not Released,,In stock,None,23 Uses,iGEM07_Cambridge,Stefan Milde,2007-09-11,,Transcriptional regulation.csv
BBa_I746351,pag activator from PSP3 phage,237,1,,Not Released,,In stock,None,13 Uses,iGEM07_Cambridge,Stefan Milde,2007-09-12,,Transcriptional regulation.csv
BBa_I746352,delta activator from phiR73 phage,264,1,Cooper Union iGEM 2014:4,Not Released,,In stock,None,33 Uses,iGEM07_Cambridge,Stefan Milde,2007-09-12,,Transcriptional regulation.csv
BBa_I712069,RBS-T7 RNA polymerase with NLS,2678,1,,Not Released,BBa_K113008,In stock,None,6 Uses,iGEM07_Ljubljana,Sasa Jereb,2007-10-22,,Transcriptional regulation.csv
BBa_K118007,rbs+appY (encoding a DNA-binding transcriptional activator),769,1,,Released HQ 2013,,In stock,None,1 Uses,iGEM08_Edinburgh,Andrew Hall,2008-08-08,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Transcriptional regulation.csv
BBa_K081007,cI repressor (TERM-),796,1,,Released HQ 2013,BBa_J09045;BBa_S03665;BBa_S04571;BBa_K648032,In stock,None,Not Used,iGEM08_UNIPV-Pavia,"Lorenzo Pasotti, Paolo Magni",2008-10-18,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Transcriptional regulation.csv
BBa_K081020,cI and lasR protein generator (TERM-),1606,1,,Released HQ 2013,,In stock,None,Not Used,iGEM08_UNIPV-Pavia,"Lorenzo Pasotti, Paolo Magni",2008-10-19,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Transcriptional regulation.csv
BBa_K082009,B0034-C0051,793,,,Released HQ 2013,BBa_S0103;BBa_J06550;BBa_J09044;BBa_K088000;BBa_K093006;BBa_K327000;BBa_S04621;BBa_K648031;BBa_K909004;BBa_S05081;BBa_S05082,In stock,Works,Not Used,iGEM08_USTC,"Yanting Xue , He Shen",2008-10-27,,Transcriptional regulation.csv
