Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I13521,Ptet mRFP,923,1,,Released HQ 2013,BBa_J01120;BBa_J01121;BBa_J23025;BBa_J14462;BBa_J14463;BBa_I763033;BBa_K577001;BBa_K783081;BBa_K1455003;BBa_K1605001,In stock,Works,21 Uses,MIT,jkm,2005-06-22,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_PRET&show=1.csv
BBa_I13522,pTet GFP,937,1,,Released HQ 2013,BBa_J37021;BBa_J14464;BBa_J14465;BBa_K121010;BBa_J69521;BBa_K239012;BBa_K195610;BBa_K783080;BBa_K1172914;BBa_K1341011;BBa_K1493504;BBa_K2150014,In stock,Works,7 Uses,MIT,jkm,2005-07-01,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_PRET&show=1.csv
BBa_I13600,Tet with CFP reporter (without LVA tag),940,1,Smelissali:4;Antiquity:5;Aberdeen_Scotland 2009:5,Released HQ 2013,BBa_J01050;BBa_K239014;BBa_K204021;BBa_J69523,In stock,Works,6 Uses,Antiquity,"Christopher Batten, Victoria Chou, Kenneth Nesmith",2004-07-16,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_PRET&show=1.csv
BBa_I13602,Tet operator with CFP reporter (with LVA tag) [R/Tc+],979,1,Antiquity:5,Released HQ 2013,BBa_J06003;BBa_J06103;BBa_J06203;BBa_J14456;BBa_K136028,In stock,Works,6 Uses,Antiquity,"Christopher Batten, Victoria Chou, Kenneth Nesmith",2004-07-16,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_PRET&show=1.csv
BBa_I763007,promoter lambda (cI regulated) with RFP reporter ,918,1,,Released HQ 2013,BBa_S03473;BBa_J14461;BBa_S03805;BBa_K091230,In stock,Works,7 Uses,iGEM07_Bologna,Alice Pasini,2007-07-30,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_PRET&show=1.csv
BBa_J04421,"ECFP Coding Device with Promoter, RBS, Coding Sequence, and Terminator",1125,,Antiquity:0,Released HQ 2013,BBa_J14457;BBa_K411235,In stock,Works,Not Used,iGEM2005,Kristen DeCelle,2005-06-09,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_PRET&show=1.csv
BBa_J04430,GFP coding device switched on by IPTG,1083,,,Released HQ 2013,BBa_S03496;BBa_J14430;BBa_J14458;BBa_J14459;BBa_K175049;BBa_K195612;BBa_K256029;BBa_K653003;BBa_K741002,In stock,Works,2 Uses,iGEM2005,Kristen DeCelle,2005-06-09,,pgroup=Reporter_PRET&show=1.csv
BBa_J04450,RFP Coding Device,1069,1,Antiquity:5;Marc.mtk:5;Karmella:5,Released HQ 2013,BBa_T9900;BBa_K1069001;BBa_K1344009,In stock,Works,33 Uses,iGEM2005,Tamar Odle,2005-06-09,Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution;Spring 2014 Distribution,pgroup=Reporter_PRET&show=1.csv
BBa_K1041000,RFP Coding Device,1069,,,Not Released,,In stock,Works,1 Uses,iGEM13_NRP-UEA-Norwich,NRP UEA ,2013-08-08,,pgroup=Reporter_PRET&show=1.csv
BBa_K1399010,Plac-RFP(AAV),1102,,,Not Released,,In stock,Works,Not Used,iGEM14_Edinburgh,Anna Stikane,2014-09-19,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution,pgroup=Reporter_PRET&show=1.csv
