Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_B0030,RBS.1 (strong) -- modified from R. Weiss,15,1,,Released HQ 2013,BBa_K783047;BBa_K1828000;BBa_K1789002,In stock,Works,734 Uses,Antiquity,"Vinay S Mahajan, Voichita D. Marinescu, Brian Chow, Alexander D Wissner-Gross and Peter Carr IAP, 2003. ",2003-01-31,Spring 2017 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2014 Distribution,RBS.csv
BBa_B0031,RBS.2 (weak) -- derivative of BBa_0030,14,1,,Released HQ 2013,BBa_K783048,In stock,Works,200 Uses,Antiquity,"Vinay S Mahajan, Voichita D. Marinescu, Brian Chow, Alexander      D Wissner-Gross and Peter Carr IAP, 2003.",2003-01-31,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,RBS.csv
BBa_B0032,RBS.3 (medium) -- derivative of BBa_0030,13,1,,Released HQ 2013,BBa_J34803;BBa_J24817;BBa_K783049;BBa_K1059011;BBa_K1725317,In stock,Works,606 Uses,Antiquity,"Vinay S Mahajan, Voichita D. Marinescu, Brian Chow, Alexander      D Wissner-Gross and Peter Carr IAP, 2003. ",2003-01-31,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,RBS.csv
BBa_B0033,RBS.4 (weaker) -- derivative of BBa_0030,11,1,Antiquity:5,Released HQ 2013,BBa_K783050;BBa_K2150010,In stock,Works,121 Uses,Antiquity,"Vinay S Mahajan, Voichita D. Marinescu, Brian Chow, Alexander      D Wissner-Gross and Peter Carr IAP, 2003. ",2003-01-31,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,RBS.csv
BBa_B0034,RBS (Elowitz 1999) -- defines RBS efficiency,12,1,,Released HQ 2013,BBa_J34801;BBa_J70591;BBa_K773001;BBa_K783051;BBa_K1529997;BBa_K1325011;BBa_K1583061;BBa_K2149018,In stock,Works,3713 Uses,Antiquity,"Vinay S Mahajan, Voichita D. Marinescu, Brian Chow, Alexander      D Wissner-Gross and Peter Carr IAP, 2003. ",2003-01-31,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,RBS.csv
BBa_J176012,Kozak,18,,,Released HQ 2013,BBa_Y00002;BBa_J63003;BBa_K165002,In stock,Works,Experience: Works,Haynes_Lab,Brady Laughlin,2011-09-29,,RBS.csv
BBa_J44001,,15,1,,Released HQ 2013,,In stock,Works,17 Uses,iGEM2006_Missouri,Todd Eckdahl,2006-08-02,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,RBS.csv
BBa_J61100,Ribosome Binding Site Family Member,12,1,,Not Released,BBa_K294206;BBa_K2116029;BBa_K2116092,In stock,Works,95 Uses,Arkin Lab,John Anderson,2007-01-28,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,RBS.csv
BBa_J61101,Ribosome Binding Site Family Member,12,1,,Not Released,,In stock,Works,48 Uses,Arkin Lab,John Anderson,2007-01-28,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,RBS.csv
BBa_J61102,Ribosome Binding Site Family Member,12,,,Not Released,,In stock,Works,8 Uses,Arkin Lab,John Anderson,2007-01-28,,RBS.csv
