Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_B0011,LuxICDABEG (+/-),46,1,Antiquity:5,Released HQ 2013,,In stock,Works,78 Uses,Antiquity,Reshma Shetty,2003-01-31,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Terminator&show=1.html.csv
BBa_B0014,double terminator (B0012-B0011),95,1,Antiquity:5;iGEM Groningen 2009:5;iGEM LMU-Munich 2012:5,Released HQ 2013,BBa_K823017;BBa_K1479002;BBa_K1753000,In stock,Works,266 Uses,Antiquity,Reshma Shetty,2003-07-16,,pgroup=Terminator&show=1.html.csv
BBa_B0015,double terminator (B0010-B0012),129,1,iGEM Team Göttingen 2013:5;iGEM13_Fudan:4;Aberdeen_Scotland 2009:4;Michigan iGEM 2012:5;Aberdeen_Scotland 2009:4;Michigan iGEM 2012:5,Released HQ 2013,BBa_J34805;BBa_J70612;BBa_J72049;BBa_K783020;BBa_M36912;BBa_K1045009;BBa_T6000;BBa_K1520029;BBa_K1685000;BBa_K2042020;BBa_K1972011;BBa_K2023000;BBa_S05347;BBa_K2175002;BBa_K2101000;BBa_K1903000,In stock,Works,3210 Uses,Antiquity,Reshma Shetty,2003-07-17,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Terminator&show=1.html.csv
BBa_B0021,"LuxICDABEG (+/-), reversed",46,1,Antiquity:5,Released HQ 2013,BBa_I742129,In stock,Works,9 Uses,Antiquity,Caitlin Conboy,2003-10-14,"Spring 2017 Distribution;MIT Distribution 4.04 -> BioBricks 1;Spring 2016 Distribution;MIT Distribution 4.04 -> BioBricks 1;Spring 2015 Distribution;MIT Distribution 4.04 -> BioBricks 1;Spring 2014 Distribution;MIT Distribution 4.04 -> BioBricks 1
",pgroup=Terminator&show=1.html.csv
BBa_B0024,"double terminator (B0012-B0011), reversed",95,1,,Not Released,,In stock,Works,26 Uses,Antiquity,Caitlin Conboy,2003-12-02,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Terminator&show=1.html.csv
BBa_B0025,"double terminator (B0015), reversed",129,1,Antiquity:5,Not Released,BBa_K093011;BBa_K1616010,In stock,Works,67 Uses,Antiquity,Caitlin Conboy,2003-12-02,Spring 2017 Distribution;Spring 2017 Distribution;Spring 2016 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2015 Distribution;Spring 2014 Distribution;Spring 2014 Distribution,pgroup=Terminator&show=1.html.csv
BBa_B1001,"Terminator (artifical, small, %T~=90)",34,1,,Not Released,,In stock,Works,10 Uses,Knight Lab,Haiyao Huang,2006-08-30,,pgroup=Terminator&show=1.html.csv
BBa_B1002,"Terminator (artificial, small, %T~=85%)",34,1,,Not Released,BBa_M36376,In stock,Works,1 Registry Star,Knight Lab,Haiyao Huang,2006-08-30,,pgroup=Terminator&show=1.html.csv
BBa_B1003,"Terminator (artificial, small, %T~=80)",34,1,,Released HQ 2013,,In stock,Works,7 Uses,Knight Lab,Haiyao Huang,2006-08-31,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Terminator&show=1.html.csv
BBa_B1005,"Terminator (artificial, small, %T~=25%",34,1,,Released HQ 2013,,In stock,Works,6 Uses,Knight Lab,Haiyao Huang,2006-08-31,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Terminator&show=1.html.csv
