Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I718008,araC-pBad-rbs-cre,2276,1,,Not Released,,In stock,Works,11 Uses,iGEM07_Paris,David Bikard,2007-10-26,,pgroup=generator_other&show=1.csv
BBa_I732019,lacZ full-length (RBS+ TERM+),3230,,,Not Released,BBa_S03973;BBa_K173004,In stock,Works,6 Uses,iGEM07_USTC,Zhan Jian,2007-07-14,,pgroup=generator_other&show=1.csv
BBa_I732020,lacZ alpha (fragment RBS+ TERM+),389,,,Released HQ 2013,BBa_I732951,In stock,Works,3 Uses,iGEM07_USTC,Zhan Jian,2007-07-14,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_I732085,"Tet repressor generator (version1, TERM+)",826,1,,Released HQ 2013,,In stock,Works,1 Uses,iGEM07_USTC,Zhan Jian,2007-10-17,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_I746902,pbad promoter driving 6-his tagged mut3 GFP,2111,1,,Released HQ 2013,,In stock,Works,Not Used,iGEM07_Cambridge,Stefan Milde,2008-10-01,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_I746907,T7 promoter driving 6-his tagged P7 GFP,924,1,,Released HQ 2013,,In stock,Works,Not Used,iGEM07_Cambridge,Stefan Milde,2008-10-01,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_I746908,superfolder GFP driven by pBAD promoter,2093,,Lri:5,Released HQ 2013,BBa_K1111000,In stock,Works,1 Uses,iGEM07_Cambridge,Stefan Milde,2008-09-30,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_I746909,superfolder GFP driven by T7 promoter,906,1,,Released HQ 2013,,In stock,Works,1 Uses,iGEM07_Cambridge,Stefan Milde,2008-09-30,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_I751250,pSB4 plac-luxI,803,1,,Released HQ 2013,BBa_I13202;BBa_I751350,In stock,Works,Not Used,iGEM07_Tokyo_Tech,Kenichiro Iwasaki,2007-10-23,,pgroup=generator_other&show=1.csv
BBa_I751350,pBR322 plac-luxI,803,,,Released HQ 2013,BBa_I13202;BBa_I751250,In stock,Works,Not Used,iGEM07_Tokyo_Tech,Kenichiro Iwasaki,2007-10-23,,pgroup=generator_other&show=1.csv
BBa_I763026,LacI coding device regulated by pTetR,1370,,,Not Released,BBa_J01108;BBa_I763030;BBa_I722007;BBa_K142046;BBa_S04245,In stock,Works,6 Uses,iGEM07_Bologna,Alice Pasini,2007-09-06,Spring 2017 Distribution;Spring 2016 Distribution,pgroup=generator_other&show=1.csv
BBa_J06650,Test of BBa_R0051,935,,Antiquity:5,Released HQ 2013,BBa_I6036;BBa_S03476;BBa_J69504,In stock,Works,Not Used,iGEM2005,ytwang,2005-06-14,,pgroup=generator_other&show=1.csv
BBa_J52036,NF-kB-dependent promoter+dnMyD88,1240,1,,Not Released,,In stock,Works,Not Used,iGEM2006_Slovenia,Ota Fekonja,2006-10-15,,pgroup=generator_other&show=1.csv
BBa_K081011,luxR protein generator under Plambda regulation (TERM-),859,1,,Released HQ 2013,,In stock,Works,Not Used,iGEM08_UNIPV-Pavia,"Lorenzo Pasotti, Paolo Magni",2008-10-18,,pgroup=generator_other&show=1.csv
BBa_K081012,GFP protein generator - PoPS->GFP,788,1,,Released HQ 2013,,In stock,Works,13 Uses,iGEM08_UNIPV-Pavia,"Lorenzo Pasotti, Paolo Magni",2008-10-18,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_K081014,RFP protein generator - PoPS->RFP,774,1,,Released HQ 2013,BBa_K876006;BBa_K2123206;BBa_K2123301;BBa_K2123109;BBa_K2123300;BBa_K2123110;BBa_K2123116;BBa_K2123114;BBa_K2123115;BBa_K2123111;BBa_K2123113;BBa_K2123112;BBa_K2123117,In stock,Works,19 Uses,iGEM08_UNIPV-Pavia,"Lorenzo Pasotti, Paolo Magni",2008-10-19,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_K081015,luxI protein generator - PoPS->luxI,711,1,,Released HQ 2013,,In stock,Works,Not Used,iGEM08_UNIPV-Pavia,"Lorenzo Pasotti, Paolo Magni",2008-10-19,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_K081019,luxR protein generator under Plambda regulation,906,1,,Released HQ 2013,,In stock,Works,Not Used,iGEM08_UNIPV-Pavia,"Lorenzo Pasotti, Paolo Magni",2008-10-19,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_K082020,LuxR generator,998,,,Released HQ 2013,BBa_S03119;BBa_I13018;BBa_T9012;BBa_K318511;BBa_K1713016,In stock,Works,1 Uses,iGEM08_USTC,"Zhen Xu , Binjie Xu",2008-10-28,,pgroup=generator_other&show=1.csv
BBa_K082022,B0034-C0051-B0015 ,930,,,Released HQ 2013,BBa_I3401;BBa_P0451;BBa_S03427;BBa_M34567;BBa_K228241;BBa_K204069;BBa_K195633;BBa_K195630;BBa_S05083,In stock,Works,1 Uses,iGEM08_USTC,"Yanting Xue , He Shen",2008-10-28,,pgroup=generator_other&show=1.csv
BBa_K082029,LuxI generator,860,,iGEM_Stockholm_2015:1,Released HQ 2013,BBa_J06001;BBa_J23039;BBa_K082030;BBa_K336100;BBa_K1692023,In stock,Works,Not Used,iGEM08_USTC,"Yanting Xue , He Shen",2008-10-28,,pgroup=generator_other&show=1.csv
BBa_K082030,luxI generator on PSB3C5,860,,,Released HQ 2013,BBa_J06001;BBa_J23039;BBa_K082029;BBa_K336100;BBa_K1692023,In stock,Works,Not Used,iGEM08_USTC,"Yanting Xue , He Shen",2008-10-28,,pgroup=generator_other&show=1.csv
BBa_K082034,lacI regulated GFP generator,1119,1,,Released HQ 2013,,In stock,Works,Not Used,iGEM08_USTC,"Yanting Xue ,He Shen",2008-10-27,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_K082035,RhlI generator,884,1,iGEM_Stockholm_2015:1,Released HQ 2013,BBa_J06201,In stock,Works,Not Used,iGEM08_USTC,"Zhen Xu , Binjie Xu",2008-10-27,,pgroup=generator_other&show=1.csv
BBa_K093012,Strong constitutive promoter - RFP,767,1,,Not Released,,In stock,Works,Not Used,iGEM08_Waterloo,John Heil,2008-10-29,,pgroup=generator_other&show=1.csv
BBa_K1073011,Inducible ampicillin resistance cassette (regulated by RhlR + N-buturyl-HSL),944,,iGEM Team Braunschweig 2013:4,Not Released,,In stock,Works,1 Uses,iGEM13_Braunschweig,iGEM Team Braunschweig 2013,2013-09-16,,pgroup=generator_other&show=1.csv
BBa_K1073014,Constitutively expressed transcription regulator RhlR + LVA,849,,iGEM Team Braunschweig 2013:4,Not Released,,In stock,Works,1 Uses,iGEM13_Braunschweig,iGEM Team Braunschweig 2013,2013-09-16,,pgroup=generator_other&show=1.csv
BBa_K1073016,Constitutively expressed transcription regulator LasR + LVA,843,,iGEM Team Braunschweig 2013:5,Not Released,,In stock,Works,1 Uses,iGEM13_Braunschweig,iGEM Team Braunschweig 2013,2013-09-17,,pgroup=generator_other&show=1.csv
BBa_K118019,Plac+rbs+glgC (ADP-glucose pyrophosphorylase),1923,1,,Released HQ 2013,,In stock,Works,Not Used,iGEM08_Edinburgh,Andrew Hall,2008-10-06,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_other&show=1.csv
BBa_K118020,Plac+rbs+glgC16 (glgC with G336D substitution)),1923,1,,Released HQ 2013,,In stock,Works,Not Used,iGEM08_Edinburgh,Andrew Hall,2008-10-06,,pgroup=generator_other&show=1.csv
BBa_K1364009,Pveg - RBS - Antifungal D4E1 - Double Terminator,567,,,Not Released,,In stock,Works,Not Used,iGEM14_Toulouse,Jourdan Camille,2014-09-25,,pgroup=generator_other&show=1.csv
BBa_K143053,Promoter Pveg and RBS spoVG for B. subtilis,117,1,Nanjing-China 2015:5,Released HQ 2013,,In stock,Works,32 Uses,iGEM08_Imperial_College,Chris Hirst,2008-10-08,,pgroup=generator_other&show=1.csv
BBa_K143079,Pveg-spoVG GFP expression construct,3448,1,Chris:5,Released HQ 2013,,In stock,Works,Not Used,iGEM08_Imperial_College,Chris Hirst,2008-10-27,,pgroup=generator_other&show=1.csv
BBa_K143082,Pveg-spoVG RFP expression construct ,3434,1,Chris:5,Released HQ 2013,,In stock,Works,Not Used,iGEM08_Imperial_College,Chris Hirst,2008-10-27,,pgroup=generator_other&show=1.csv
