Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_K277124,,,,,Not Released,,It's complicated,,Not Used,iGEM09_Johns_Hopkins-BAG,James DiCarlo,2009/10/21,,
BBa_K277126,,,,,Not Released,,It's complicated,,Not Used,iGEM10_Johns_Hopkins-BAG,James DiCarlo,2009/10/21,,
BBa_K277082,,,,,Not Released,,It's complicated,,Not Used,iGEM11_Johns_Hopkins-BAG,James DiCarlo,2009/10/21,,
BBa_K277110,,,,,Not Released,,It's complicated,,Not Used,iGEM12_Johns_Hopkins-BAG,James DiCarlo,2009/10/21,,
BBa_K079024,,,,,Not Released,,It's complicated,Issues,1 Uses,iGEM08_Bologna,Francesca Ceroni,2008/10/24,,
BBa_K165024,,,,,Not Released,,It's complicated,,1 Uses,iGEM08_BrownTwo,John Szymanski,2008/10/27,,
BBa_K165019,,,,,Not Released,BBa_S04141,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/27,,
BBa_K165064,,,,,Not Released,,It's complicated,None,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165066,,,,,Not Released,,It's complicated,None,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165069,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K079023,,,,,Not Released,,It's complicated,Works,1 Uses,iGEM08_Bologna,Francesca Ceroni,2008/10/24,,
BBa_K165065,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165047,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165026,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/27,,
BBa_K165070,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165067,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165027,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/27,,
BBa_K165025,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/27,,
BBa_K165071,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165073,,,,,Not Released,BBa_K165056,It's complicated,None,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165072,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165074,,,,,Not Released,,It's complicated,Works,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165075,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165076,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165082,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165077,,,,,Not Released,,It's complicated,None,Not Used,iGEM08_BrownTwo,Aaron Glieberman,2008/10/29,,
BBa_K165085,,,,,Not Released,,It's complicated,Works,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165088,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165086,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165084,,,,,Not Released,,It's complicated,Works,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165079,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,Aaron Glieberman,2008/10/29,,
BBa_K165083,,,,,Not Released,,It's complicated,Works,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165089,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165087,,,,,Not Released,,It's complicated,Works,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165081,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165092,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165093,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165091,,,,,Not Released,BBa_K165101,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165099,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165097,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165094,,,,,Not Released,,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
BBa_K165100,,,,,Not Released,BBa_K165090,It's complicated,,Not Used,iGEM08_BrownTwo,John Szymanski,2008/10/29,,
