Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I13261,Lux Receiver (I13263 with reversed part order),,,Antiquity:5,Released HQ 2013,,In stock,Works,Not Used,Antiquity,Barry Canton,2004-10-31,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Signal_Other&show=1.csv
BBa_I13262,,,,Antiquity:5,Released HQ 2013,BBa_A340620;BBa_K317037,In stock,Works,5 Uses,Antiquity,Barry Canton,2004-08-09,,pgroup=Signal_Other&show=1.csv
BBa_I13263,Lux Receiver (HSL & R0063 driven),,,Antiquity:5,Released HQ 2013,,In stock,Works,3 Uses,Antiquity,Barry Canton,2004-08-09,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Signal_Other&show=1.csv
BBa_I13272,,,,Antiquity:5,Released HQ 2013,,In stock,Works,Not Used,Antiquity,Barry Canton,2004-11-23,,pgroup=Signal_Other&show=1.csv
BBa_K084007,Lac repressible lasI generator (No LVA ),,1,iGEMChiba 2008:5,Released HQ 2013,,In stock,Works,Not Used,iGEM08_Chiba,"Masahiro Tominaga,Yoshimi Iyama,Kohei Kawasaki",2008-09-18,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Signal_Other&show=1.csv
BBa_K084008,Lac repressible RhlI generator (No LVA ),,1,iGEMChiba 2008:5,Released HQ 2013,,In stock,Works,Not Used,iGEM08_Chiba,"Masahiro Tominaga, Yoshimi Iyama, Kohei Kawasaki",2008-09-18,,pgroup=Signal_Other&show=1.csv
BBa_K084012,Lac repressible 3OC6HSL generator (No LVA),,1,iGEMChiba 2008:5,Released HQ 2013,,In stock,Works,1 Uses,iGEM08_Chiba,"Yoshimi Iyama, Kohei Kawasaki, Masahiro Tominaga",2008-09-22,,pgroup=Signal_Other&show=1.csv
BBa_K091153,Standard RBS with LuxS,,,,Not Released,BBa_S03968,In stock,Works,1 Uses,iGEM08_Davidson-Missouri_Western,Andrew Gordon,2008-07-21,,pgroup=Signal_Other&show=1.csv
BBa_K091167,RBS+LuxI+TT,,,,Released HQ 2013,BBa_F1610;BBa_I9023;BBa_S03571;BBa_K082014;BBa_K569000;BBa_K805016;BBa_K1104931,In stock,Works,Not Used,iGEM08_Davidson-Missouri_Western,Andrew Gordon,2008-07-31,,pgroup=Signal_Other&show=1.csv
BBa_K1334020,a signal complex to test whether the lux system works,,,,Not Released,,In stock,Works,Not Used,iGEM14_WHU-China,Qiushuang Wu,2014-09-27,,pgroup=Signal_Other&show=1.csv
BBa_K137018,AHL receiver + GFP,,1,XMU-China 2011:4,Released HQ 2013,BBa_K658022,In stock,Works,Not Used,iGEM08_Caltech,Doug Tischer,2008-07-15,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Signal_Other&show=1.csv
BBa_K137019,AHL receiver + tet inverter + GFP,,1,,Released HQ 2013,,In stock,Works,Not Used,iGEM08_Caltech,Doug Tischer,2008-07-16,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Signal_Other&show=1.csv
BBa_K395162,CmR activated by LuxR and 3OC6HSL(AHL of Lux family),,,,Not Released,,In stock,Works,3 Uses,iGEM10_Tokyo_Tech,Kaneta Yusuke,2010-10-05,,pgroup=Signal_Other&show=1.csv
BBa_K548000,Humanized Aequorin ,,,,Released HQ 2013,,In stock,Works,Not Used,iGEM11_Penn,Peter Qiao,2011-09-27,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Signal_Other&show=1.csv
BBa_K750000,pBADGLT:unstable gfp expression device activated by arabinose,,,,Released HQ 2013,BBa_K206005,In stock,Works,1 Uses,iGEM12_XMU-China,"Sifan Wang, Yizhen Yan, Jianzhao Chi, Qingshu Wu",2012-09-18,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Signal_Other&show=1.csv
BBa_K750009,TIME DELAY1.0:LuxI(RBS1.0)->LuxR->LuxPR->GFP,,,,Released HQ 2013,,In stock,Works,Not Used,iGEM12_XMU-China,"Sifan Wang,Ruosang Qiu,Xinyi Yao,Qingshu Wu",2012-09-19,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Signal_Other&show=1.csv
BBa_K750010,TIME DELAY 0.6:LuxI(RBS0.6)->LuxR->LuxPR->GFP,,,,Released HQ 2013,,In stock,Works,Not Used,iGEM12_XMU-China,"Sifan Wang, Ruosang Qiu, Shuqin Hu,Zhao Ma,Yunxin Long",2012-09-19,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Signal_Other&show=1.csv
