Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I715015,pLacB:RBS.1:Kan,1045,,,Not Released,,In stock,Works,Not Used,iGEM07_Davidson_Missouri_W,Michael Waters,2007-06-20,,Other_Reporter&show=11.csv
BBa_I715016,pLacB:RBS.1:CAT,889,,,Not Released,,In stock,Works,Not Used,iGEM07_Davidson_Missouri_W,Michael Waters,2007-06-20,,Other_Reporter&show=11.csv
BBa_I715039,pLac-RBS-RFP,932,,,Released HQ 2013,BBa_S05173;BBa_K1673110,In stock,Works,7 Uses,iGEM07_Davidson_Missouri_W,Oyinade Adefuye,2007-08-01,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Other_Reporter&show=11.csv
BBa_I715040,pLac-RBS-RFP-RBS-GFP,1681,,,Released HQ 2013,,In stock,Works,Not Used,iGEM07_Davidson_Missouri_W,Will DeLoache,2007-08-01,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Other_Reporter&show=11.csv
BBa_I732094,Promoter Activity Reporter (LacZ-alpha and GFP-AAV),1201,1,,Released HQ 2013,,In stock,Works,3 Uses,iGEM07_USTC,Zhan Jian,2007-09-20,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Other_Reporter&show=11.csv
BBa_I732095,Promoter Activity Reporter (LacZ-alpha and RFP),1148,,,Released HQ 2013,,In stock,Works,Not Used,iGEM07_USTC,Zhan Jian,2007-09-01,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Other_Reporter&show=11.csv
BBa_I732096,Promoter Activity Reporter (LacZ-alpha and GFP),1162,,,Released HQ 2013,,In stock,Works,Not Used,iGEM07_USTC,Zhan Jian,2007-09-20,,Other_Reporter&show=11.csv
BBa_I732097,Promoter Activity Reporter (RFP),888,,,Released HQ 2013,,In stock,Works,1 Uses,iGEM07_USTC,Zhan Jian,2007-10-17,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Other_Reporter&show=11.csv
BBa_I746320,GFP under control of PF promoter,974,,,Released HQ 2013,BBa_M45506,In stock,Works,3 Uses,iGEM07_Cambridge,Stefan Milde,2007-09-11,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Other_Reporter&show=11.csv
BBa_I746324,GFP under control of Psid promoter,976,,,Released HQ 2013,,In stock,Works,3 Uses,iGEM07_Cambridge,Stefan Milde,2007-09-11,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Other_Reporter&show=11.csv
BBa_I746325,GFP under control of PLL promoter,975,,,Not Released,,In stock,Works,3 Uses,iGEM07_Cambridge,Stefan Milde,2007-09-11,,Other_Reporter&show=11.csv
BBa_I763011,promoter lambda (cI regulated) with GFP (+LVA) reporter ,971,1,,Released HQ 2013,BBa_K750103,In stock,Works,1 Uses,iGEM07_Bologna,Alice Pasini,2007-08-20,,Other_Reporter&show=11.csv
BBa_I763033,Ptet mRFP. switch off by tetracycline ,923,,,Released HQ 2013,BBa_I13521;BBa_J01120;BBa_J01121;BBa_J23025;BBa_J14463;BBa_J14462;BBa_K577001;BBa_K783081;BBa_K1455003;BBa_K1605001,In stock,Works,2 Uses,iGEM07_Bologna,Alice Pasini,2007-10-04,,Other_Reporter&show=11.csv
BBa_J04630,E0040.B0015,857,1,Antiquity:5,Released HQ 2013,BBa_I13401;BBa_E1040;BBa_I714062;BBa_K175018;BBa_S04233;BBa_S04263;BBa_K653001;BBa_K944008;BBa_K1088050,In stock,Works,18 Uses,iGEM2005,Kristen DeCelle,2005-08-29,,Other_Reporter&show=11.csv
BBa_J04650,E1010.B0015,843,,Antiquity:5,Released HQ 2013,BBa_I13501;BBa_J01095;BBa_K175015;BBa_K283035;BBa_K199112;BBa_S04566;BBa_K944007,In stock,Works,9 Uses,iGEM2005,Kristen DeCelle,2005-08-29,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Other_Reporter&show=11.csv
BBa_K079050,GFP reporter protein under the control of the J23100 constitutive promoter and LexA 2 operator,981,1,,Released HQ 2013,,In stock,Works,Not Used,iGEM08_Bologna,Francesca Ceroni,2008-10-25,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,Other_Reporter&show=11.csv
BBa_K094130,Rbs-mRFP1-terminator,861,,,Released HQ 2013,BBa_E041010;BBa_I13507;BBa_J01098;BBa_S04015;BBa_S04181;BBa_J133001;BBa_S04588;BBa_K572000;BBa_K1357010;BBa_K1845000,In stock,Works,5 Uses,iGEM08_iHKU,Shi Lei,2008-10-13,,Other_Reporter&show=11.csv
BBa_K1012005,GFP under control of an OmpR-responsive promoter,824,,iGEM Dundee 2013:5,Not Released,,In stock,Works,Not Used,iGEM13_Dundee,John Allan,2013-08-29,,Other_Reporter&show=11.csv
BBa_K1033914,"amajLime, yellow-green chromoprotein (incl RBS & J23110)",754,,,Not Released,,In stock,Works,Not Used,iGEM13_Uppsala,Sabri Jamal,2013-09-17,,Other_Reporter&show=11.csv
BBa_K1033917,"gfasPurple, purple chromoprotein (incl RBS, J23110)",730,,,Not Released,,In stock,Works,1 Uses,iGEM13_Uppsala,Sabri Jamal,2013-09-17,,Other_Reporter&show=11.csv
BBa_K1033928,"aeBlue, blue chromoprotein (incl RBS, J23110)",760,,,Not Released,BBa_K864403,In stock,Works,Not Used,iGEM13_Uppsala,Sabri Jamal,2013-09-17,,Other_Reporter&show=11.csv
BBa_K1073020,Constitutively expressed chromoprotein aeBlue,761,,iGEM Team Braunschweig 2013:5,Not Released,,In stock,Works,1 Uses,iGEM13_Braunschweig,iGEM Team Braunschweig 2013,2013-09-17,,Other_Reporter&show=11.csv
BBa_K1073022,Constitutively expressed chromoprotein eforRed,743,,iGEM Team Braunschweig 2013:5,Not Released,,In stock,Works,2 Uses,iGEM13_Braunschweig,iGEM Team Braunschweig 2013,2013-09-17,,Other_Reporter&show=11.csv
BBa_K1073024,Constitutively expressed chromoprotein amilGFP,761,,iGEM Team Braunschweig 2013:5,Not Released,,In stock,Works,1 Uses,iGEM13_Braunschweig,iGEM Team Braunschweig 2013,2013-09-17,,Other_Reporter&show=11.csv
BBa_K1073026,Constitutively expressed chromoprotein cjBlue,764,,,Not Released,,In stock,Works,Not Used,iGEM13_Braunschweig,iGEM Team Braunschweig 2013,2013-09-17,,Other_Reporter&show=11.csv
BBa_K1088009,B. subtilis dxs-GFP protein fusion (lac promoter with LVA-tagged lac inhibitor (LacI:LVA) - IPTG ind,4094,,,Not Released,,In stock,Works,Not Used,iGEM13_SDU-Denmark,Andreas Kjær,2013-08-20,,Other_Reporter&show=11.csv
BBa_K1141000,Plac-RBS-mCherry-double terminator (IPTG-inducible),1077,,,Not Released,BBa_K204044;BBa_K1075050,In stock,Works,Not Used,iGEM13_Grenoble-EMSE-LSU,Adrien Rapeaux,2013-09-23,,Other_Reporter&show=11.csv
BBa_K1155003,RBS-amilCP-term,824,,,Not Released,BBa_K1387000;BBa_K1357009;BBa_K1375005,In stock,Works,Not Used,iGEM13_Paris_Saclay,"Sylvie Lautru, Anaïs, Zhou, Abdou",2013-09-10,,Other_Reporter&show=11.csv
