Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I714894,SDA_CI,726,,,Not Released,,In stock,Works,4 Uses,iGEM07_Peking,Chunbo Lou,2007-10-21,Spring 2017 Distribution;Spring 2016 Distribution,pgroup=generator_basic&show=1.csv
BBa_I732084,"Tet repressor generator (version1, TERM-)",689,1,,Not Released,,In stock,Works,1 Uses,iGEM07_USTC,Zhan Jian,2007-10-17,,pgroup=generator_basic&show=1.csv
BBa_J33201,E. coli chromosomal ars promoter with arsR repressor gene,518,,"iGEM Edinburgh 2006:2;iGEM IvyTechSouthBendIN 2012:2;iGEM Gaston Day School 2012
We grew liquid cultures for 24 hours with varying concentrations of Cadmium Nitrate in the presence of our cells. After growth, the tests were spun down, then resuspended in 1X PBS (Phosphate Buffer Solution). We tested the detector with Cadmium since the promoter is responsive to multiple heavy metals. Due to safety issues, we were unable to use Arsenic because we are in BSL1 and it is a known poison. The results were measured in fluorescence per OD 600. The graph below shows our results.:2;iGEM Worcester WPI:3",Released HQ 2013,BBa_M33334,In stock,Works,16 Uses,iGEM2006_Edinburgh,Chris French,2006-10-13,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_basic&show=1.csv
BBa_K1033990,Zeocin resistance cassette,449,,,Not Released,,In stock,Works,Not Used,iGEM13_Uppsala,Erik Gullberg,2013-09-03,,pgroup=generator_basic&show=1.csv
BBa_K1100009,Csy4 generator with no terminator,659,,,Not Released,,In stock,Works,1 Uses,iGEM13_Fudan,YingQi Lou,2013-09-13,,pgroup=generator_basic&show=1.csv
BBa_K1228006,25aa with T1 terminator and Constitutive promoter veg,391,,,Not Released,,In stock,Works,Not Used,iGEM13_HZAU-China,Zhang SW,2013-09-09,,pgroup=generator_basic&show=1.csv
BBa_K1228008,38aa with T1 terminator and Constitutive promoter veg,428,,,Not Released,,In stock,Works,Not Used,iGEM13_HZAU-China,Zhang SW,2013-09-09,,pgroup=generator_basic&show=1.csv
BBa_K1228009,38aa and 25aa fusion peptide with T1 terminator and Constitutive promoter veg,511,,,Not Released,,In stock,Works,Not Used,iGEM13_HZAU-China,Zhang SW,2013-09-10,,pgroup=generator_basic&show=1.csv
BBa_K1321200,J23101+B0034+VHb (Vitreoscilla haemoglobin),504,,Hongbin Yu from SCU-China 2016:4,Not Released,,In stock,Works,2 Uses,iGEM14_Imperial,Xenia Spencer-Milnes,2014-10-07,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution,pgroup=generator_basic&show=1.csv
BBa_K1332011,Histidine tag (8 AA) and RFP semi-permanent generator,1376,,,Not Released,,In stock,Works,Not Used,iGEM14_Gifu,Kenta Nomura,2014-09-26,,pgroup=generator_basic&show=1.csv
BBa_K1355001,Regulation and transport of mercury ions,1189,,,Not Released,BBa_K2123202,In stock,Works,3 Uses,iGEM14_UFAM_BRAZIL,"Maria Clara Astolfi, Luna Barroco de Lacerda",2014-10-06,,pgroup=generator_basic&show=1.csv
BBa_K1404002,"Ptac-NiCoTB, improves nickel and cobalt internalization",1306,,,Not Released,,In stock,Works,1 Uses,iGEM14_INSA-LYON,Alexandre Duprey,2014-09-23,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution,pgroup=generator_basic&show=1.csv
BBa_K1404006,"p70-CsgA, curli generator",547,,,Not Released,,In stock,Works,Not Used,iGEM14_INSA-LYON,"Juliette Paillet, Alexandre Duprey, Emiel van der Kouwe",2014-09-24,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution,pgroup=generator_basic&show=1.csv
BBa_K1404007,"p70-CsgA-His, His-tagged curli generator",577,,,Not Released,,In stock,Works,Not Used,iGEM14_INSA-LYON,"Juliette Paillet, Alexandre Duprey, Emiel van der Kouwe",2014-09-24,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution,pgroup=generator_basic&show=1.csv
BBa_K1404008,"p70-CsgA-His*2, double His-tagged curli generator",607,,,Not Released,,In stock,Works,Not Used,iGEM14_INSA-LYON,"Juliette Paillet, Alexandre Duprey, Emiel van der Kouwe",2014-09-24,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution,pgroup=generator_basic&show=1.csv
BBa_K1807000,Protein generator device suitable for blue-white screening and Gibson Assembly.,403,,,Not Released,BBa_K1807015,Not in stock,Works,Not Used,iGEM15_York,Ivan Gyulev,2015-09-14,,pgroup=generator_basic&show=1.csv
BBa_K325209,,3841,,,Released HQ 2013,,In stock,Works,Not Used,iGEM10_Cambridge,Anja Hohmann and Will Handley,2010-09-17,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_basic&show=1.csv
BBa_K325259,,3841,,,Released HQ 2013,,In stock,Works,Not Used,iGEM10_Cambridge,Ben Reeve and Emily Knott,2010-10-23,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_basic&show=1.csv
BBa_K325909,,7637,,"As a part of our project, we set out to investigate the conditions which affect the output of the LuxBrick. As we are using various elements from this Biobrick, we believe that is cornersome to know how we may increase its output by modifying the conditions that affect its behaviour.:34;2012iGEM team Fudan_Lux:3;Peking 2012 iGEM team:4",Released HQ 2013,,In stock,Works,2 Uses,iGEM10_Cambridge,Theo Sanderson and Will Handley,2010-10-23,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_basic&show=1.csv
BBa_K398029,ALDH generator (low expression),1555,,,Not Released,,In stock,Works,Not Used,iGEM10_TU_Delft,Kira Schipper,2010-10-07,,pgroup=generator_basic&show=1.csv
BBa_K537001,Theophylline Riboswitch 1-CheZ,698,,,Not Released,,In stock,Works,1 Uses,iGEM11_WITS_CSIR_SA,Natasia Kruger,2011-07-19,,pgroup=generator_basic&show=1.csv
BBa_K537002,Theophylline Riboswitch 2-CheZ,702,,,Not Released,,In stock,Works,1 Uses,iGEM11_WITS_CSIR_SA,Natasia Kruger,2011-07-19,,pgroup=generator_basic&show=1.csv
BBa_K537003,Theophylline Riboswitch 1-Venus,779,,,Not Released,,In stock,Works,1 Uses,iGEM11_WITS_CSIR_SA,Gloria Hlongwane,2011-09-09,,pgroup=generator_basic&show=1.csv
BBa_K537004,Theophylline Riboswitch 2-Venus,780,,,Not Released,,In stock,Works,1 Uses,iGEM11_WITS_CSIR_SA,Gloria Hlongwane,2011-09-09,,pgroup=generator_basic&show=1.csv
BBa_K541505,limulus anti-LPS factor (LALF),312,,,Released HQ 2013,,In stock,Works,2 Uses,iGEM11_FAGEM,Fazilet Guler,2011-07-19,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_basic&show=1.csv
BBa_K558007,Bay Laurel Thioesterse Generator for Fatty Acid Production,1147,,,Not Released,,In stock,Works,Not Used,iGEM11_Nevada,Megan Tabor,2011-09-20,,pgroup=generator_basic&show=1.csv
BBa_K581011,pBAD-rbs-cqsA-terminator,1465,,,Not Released,,In stock,Works,Not Used,iGEM11_Peking_Signaling,"Handuo SHI, Dingqiao Wen",2011-09-26,,pgroup=generator_basic&show=1.csv
BBa_K638202,Arabinose inducible Poly-His Reflectin A1 generator,2456,,,Released HQ 2013,,In stock,Works,Not Used,iGEM11_Cambridge,Matthew Jones,2011-09-19,,pgroup=generator_basic&show=1.csv
BBa_K638401,Arabinose inducible TorA Export Tagged Reflectin A1 Poly His generator,2582,,,Released HQ 2013,,In stock,Works,Not Used,iGEM11_Cambridge,Matthew Jones,2011-09-19,,pgroup=generator_basic&show=1.csv
BBa_K649201,PlacIQ-lox2272-rfp-lox2272-gfp,1914,,,Not Released,,In stock,Works,Not Used,iGEM11_Tokyo_Tech,SeoHyun Kim ,2011-09-18,,pgroup=generator_basic&show=1.csv
BBa_K649202,PlacIQ-lox71-rfp-lox66-gfp,1914,,,Not Released,,In stock,Works,Not Used,iGEM11_Tokyo_Tech,SeoHyun Kim ,2011-09-18,,pgroup=generator_basic&show=1.csv
BBa_K738002,Theophyline riboswitch regulated RNA Scaffold (clover vision 2),217,,,Released HQ 2013,,In stock,Works,Not Used,iGEM12_ZJU-China,Huachun Liu,2012-08-09,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_basic&show=1.csv
BBa_K819009,Weak cheZ generator,703,,,Not Released,,In stock,Works,Not Used,iGEM12_Peking,Xing Wenmin,2012-09-03,,pgroup=generator_basic&show=1.csv
BBa_K819010,Medium cheZ generator,706,,2016iGEM_HZAU:5,Released HQ 2013,,In stock,Works,Not Used,iGEM12_Peking,Xing Wenmin,2012-09-03,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_basic&show=1.csv
BBa_K819012,Luminesensor repressible LacIM generator,1292,,,Released HQ 2013,,In stock,Works,Not Used,iGEM12_Peking,ZHANG Hong,2012-09-03,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=generator_basic&show=1.csv
